priority,package,archive,member_path,sha256,packaged_sha256_status,category,disposition,selected_target,conflict_basis,preserved_location,score_impact
1,remaining_work,2-sgs_benchmark_remaining_work_completion_v0.6.zip,FINAL_REMAINING_WORK_REPORT.md,b249b53a9d32652a0022294d5c0a7ce28cbcc155550d0a6331b5ea2fe50254e7,verified,required_document,reviewed_and_preserved_in_exact_source_archive,,owner priority plus artifact purpose,review/internal_provenance/source_packages/2-sgs_benchmark_remaining_work_completion_v0.6.zip,none
1,remaining_work,2-sgs_benchmark_remaining_work_completion_v0.6.zip,SHA256SUMS.txt,d8519b8f0bae27a9e33b21952893c8e54a198b5781ef4fec8a9b8f9cf290f341,not_listed_self_manifest,required_document,reviewed_and_preserved_in_exact_source_archive,,owner priority plus artifact purpose,review/internal_provenance/source_packages/2-sgs_benchmark_remaining_work_completion_v0.6.zip,none
1,remaining_work,2-sgs_benchmark_remaining_work_completion_v0.6.zip,blind_review_execution_packet/blind_review_rules.md,e63857478d9bb2f7a8c27d576faa3e9f43b619af2547890bcc1ec7d337140233,verified,release_input,selected_and_integrated,09_blind_review/blind_review_execution_packet/blind_review_rules.md,owner priority plus artifact purpose,review/internal_provenance/source_packages/2-sgs_benchmark_remaining_work_completion_v0.6.zip,none
1,remaining_work,2-sgs_benchmark_remaining_work_completion_v0.6.zip,blind_review_execution_packet/blind_review_scoring_template.csv,a9717e6d6110c4e1494cc9f3dffe67d4acd815a24766ada8a9044b144676c43d,verified,release_input,selected_and_integrated,09_blind_review/blind_review_execution_packet/blind_review_scoring_template.csv,owner priority plus artifact purpose,review/internal_provenance/source_packages/2-sgs_benchmark_remaining_work_completion_v0.6.zip,none
1,remaining_work,2-sgs_benchmark_remaining_work_completion_v0.6.zip,blind_review_execution_packet/build_blind_packet.py,bfd7325850ae1613e26f61a4ecc0eabd14b47abeea5a683d4079628e52ed3101,verified,release_input,selected_and_integrated,09_blind_review/blind_review_execution_packet/build_blind_packet.py,owner priority plus artifact purpose,review/internal_provenance/source_packages/2-sgs_benchmark_remaining_work_completion_v0.6.zip,none
1,remaining_work,2-sgs_benchmark_remaining_work_completion_v0.6.zip,completion_status_matrix.csv,9c2eb8b91909fbd99762af944d8109bec0d631f7adcb918208a559d9a3fe82ea,verified,release_input,reviewed_and_preserved_in_exact_source_archive,,owner priority plus artifact purpose,review/internal_provenance/source_packages/2-sgs_benchmark_remaining_work_completion_v0.6.zip,none
1,remaining_work,2-sgs_benchmark_remaining_work_completion_v0.6.zip,content_quality_statistics.json,c468df5eb1edc4b876ccee8761a64f38782c32f2fd43be14fe70cc04292b8667,verified,release_input,selected_and_integrated,08_statistics/content_quality_statistics.json,owner priority plus artifact purpose,review/internal_provenance/source_packages/2-sgs_benchmark_remaining_work_completion_v0.6.zip,none
1,remaining_work,2-sgs_benchmark_remaining_work_completion_v0.6.zip,hard50_item_calibration.csv,aa85db4118a996aaca21aeaf1e94f8ab5d42da294a8107364089884250957c52,verified,release_input,selected_and_integrated,07_hard50/hard50_item_calibration.csv,owner priority plus artifact purpose,review/internal_provenance/source_packages/2-sgs_benchmark_remaining_work_completion_v0.6.zip,none
1,remaining_work,2-sgs_benchmark_remaining_work_completion_v0.6.zip,hard50_retire_rewrite_keep.csv,bb6497b8a9c05e19a3e93908f1f742c86cc95e17ce93ac7a5b2a6f5f60f64d49,verified,release_input,selected_and_integrated,07_hard50/hard50_retire_rewrite_keep.csv,owner priority plus artifact purpose,review/internal_provenance/source_packages/2-sgs_benchmark_remaining_work_completion_v0.6.zip,none
1,remaining_work,2-sgs_benchmark_remaining_work_completion_v0.6.zip,manifest.json,77f4e74da9cba21c9cc889c670053de6675fcfca3222d796a850a742bf62b43e,verified,required_document,reviewed_and_preserved_in_exact_source_archive,,owner priority plus artifact purpose,review/internal_provenance/source_packages/2-sgs_benchmark_remaining_work_completion_v0.6.zip,none
