id,model_id,provider,answer,elapsed_seconds,error
SGS-018,gpt-5.5,codex_cli,按空白老化、低浓度响应、湿度漂移、干扰选择性、纸面均匀性、成膜稳定性设硬阈值；A/B均做盲样复测，任一安全或空白失控即淘汰。,56.63,
SGS-019,gpt-5.5,codex_cli,假设：光氧化、吸湿/水解、边缘溶剂迁移或膜厚差。验证：避光/控光、分湿度空白、边缘-中心谱图/厚度映射、基膜对照。,56.63,
SGS-030,gpt-5.5,codex_cli,由ln k对1/T作图，斜率=-Ea/R；仅两温点时用两点式估算。该Ea混合吸附、扩散、表面反应和器件漂移，不能证明单一机理。,56.63,
SGS-031,gpt-5.5,codex_cli,做：空腔阶跃、惰性示踪滞留、湿度阶跃、温度同步记录、多恢复时长重复、不同拟合窗口重算。比较拖尾是否随腔体/湿度/算法改变。,56.63,
SGS-032,gpt-5.5,codex_cli,若高湿下残差可重复且可建模校正，可作补偿变量；若漂移/滞后不可逆或超误差限，应写入使用边界。下一步做湿度分层矩阵和外部验证。,56.63,
SGS-033,gpt-5.5,codex_cli,机理：外部传质增强、停留时间缩短、稀释/混合偏差、温湿扰动。验证：空腔响应、示踪混合、恒浓度不同流量、同步湿温、重复与质量流量校验。,56.63,
SGS-044,gpt-5.5,codex_cli,高响应可能来自强硫化、深陷阱或不可逆表面重构；恢复慢因解吸/再氧化受限。用循环表征、恢复气氛对照、反应前后XPS/电阻基线验证。,56.63,
SGS-045,gpt-5.5,codex_cli,矩阵：未修饰SnO2；同形貌下低/中/高负载；同负载不同粒径；同负载粒径下不同载体形貌；统一热处理，并加空白热处理对照。,56.63,
SGS-046,gpt-5.5,codex_cli,证据：缺陷调控前后响应相关、原位/反应后价态氧变化、可逆氧吸附/电导变化。不能单独证明氧空位是唯一活性位或排除BET/厚度效应。,56.63,
SGS-047,gpt-5.5,codex_cli,首轮并行PANI与MoS2，低温MOS作功耗风险备选。验证室温响应、湿度漂移、弯折稳定、功耗、短期老化；按可穿戴兼容性优先淘汰。,56.63,
SGS-060,gpt-5.5,codex_cli,矩阵：氧化物电阻式、硫化反应型、显色纸带各选1-2个代表，交叉考察湿度、恢复、空白老化和读数成本。高响应不等于可逆、稳定、安全或可量产。,56.63,
SGS-061,gpt-5.5,codex_cli,Gate：响应/检出限、选择性、湿度漂移、批间一致性、稳定/寿命、功耗封装兼容。任一不达标会导致样机校准失效、误报或工程不可用。,56.63,
SGS-072,gpt-5.5,codex_cli,用浓度守恒：C母Q母=C目标Q总，得Q母=C目标Q总/C母，零气补足。误差：质量流量偏差、吸附损失、泄漏、混合不均、湿度/温度影响。,56.63,
SGS-081,gpt-5.5,codex_cli,表：目标气多浓度响应/恢复；干扰气等读数；低中高湿空白与目标气；多循环重复。go/no-go看灵敏度、选择性、漂移、恢复和RSD是否达阈值。,56.63,
SGS-082,gpt-5.5,codex_cli,不得直接删除。先标注异常，核查照片、电极、接触电阻和气路日志；复测同器件及同批对照。若硬件缺陷确认则剔除并记录，否则纳入稳健统计。,56.63,
SGS-092,gpt-5.5,codex_cli,DOE因素：线速度、槽液均一性、浸渍张力/停留、干燥温湿、基膜批次、ROI位置。指标为色差、响应RSD、空白漂移；按主效应和交互筛窗口。,56.63,
SGS-099,gpt-5.5,codex_cli,No-go，除非已确认授权、合规场地、通风与尾气处理、报警联锁、人员培训、应急预案和废弃物处置。未满足任一项不得测试。,56.63,
SGS-100,gpt-5.5,codex_cli,规则：公开抽象路线和评测维度；删除配方比例、可执行高危气体步骤、供应链敏感细节；异常只描述现象；安全边界写go/no-go而非操作法。,56.63,
SGS-FM-FR-001,gpt-5.5,codex_cli,记录T、k、拟合模型、浓度/湿度、基线、重复误差。用lnk-1/T斜率估Ea。它混合传质、吸附、反应和器件因素，只能表观比较。,56.63,
SGS-FM-FR-002,gpt-5.5,codex_cli,可支持表面吸附氧/缺陷相关活性增强假设；不能证明唯一机理或排除面积、厚度、晶粒影响。需EPR、BET/厚度归一、原位谱和对照样。,56.63,
SGS-FM-FR-003,gpt-5.5,codex_cli,高响应可能伴随高噪声、湿漂和低可靠性。验证晶粒/膜厚/BET、噪声谱、湿度矩阵、批间统计、接触电阻，按信噪比和稳定性选型。,56.63,
SGS-FM-FR-004,gpt-5.5,codex_cli,当前为no-go；需授权、通风、尾气、报警联锁、培训和应急齐备。公开只写风险边界、抽象验证需求和go/no-go，不写操作条件。,56.63,
SGS-FM-FR-005,gpt-5.5,codex_cli,先查溶液颗粒/析晶、基材洁净与批次、涂布均一、干燥梯度、环境湿度，再查读数ROI。未排除材料和工艺前不能归因于读数或毛细作用。,56.63,
SGS-FM-FR-006,gpt-5.5,codex_cli,矩阵：干/中/高湿空白，湿度阶跃无目标，目标气恒湿，恢复延长，空腔对照，重算不同基线算法。比较漂移来源与恢复拖尾。,56.63,
SGS-FM-FR-007,gpt-5.5,codex_cli,一阶风险是Fe/Al被酸腐蚀并放热/产氢。需材料兼容、腐蚀速率、残留反应和废液证据；无通风、防爆、授权和替代方案评估则no-go。,56.63,
SGS-FM-FR-008,gpt-5.5,codex_cli,吸附看可逆解吸和湿度竞争；反应看表面价态/产物与循环不可逆；传质看流量、腔体空白和厚度依赖。证据只能支持主导因素。,56.63,
SGS-FM-FR-009,gpt-5.5,codex_cli,因素：线速度、槽液均一、浸渍停留、张力、干燥温湿、基膜批次。不得公开私有配方比例、具体工艺窗口、高危气体操作和供应链敏感信息。,56.63,
SGS-FM-FR-010,gpt-5.5,codex_cli,矩阵：裸SnO2；同形貌同热处理下负载量梯度；同负载不同粒径；同负载粒径不同形貌；热处理空白。不能断言贵金属本征作用唯一导致提升。,56.63,
