item_id,claim_id,domain,question,reference_answer,claim_text,claim_type,external_evidence_verdict,evidence_strength,evidence_cluster_ids,source_ids,support_summary,limitation_or_gap,rewrite_recommendation,confidence,review_identity
SGS-018,SGS-018-C01,organic_chemistry,某团队正在比较两类 Cl2/NO2 显色纸带受体。路线 A 显色快但 24 h 空白老化偏重，路线 B 空白较稳但低浓度响应慢。已有数据包括短期响应、湿度空白、两类氧化性干扰气初筛、纸面均匀性记录和候选受体溶解/成膜观察。请给出下一轮筛选规则。回答不得涉及私有配方比例，不得给出高危气体操作步骤。,优秀答案应指出，当前数据只能说明路线 A 在短期响应上占优，不能证明其适合在线报警或长期储存。下一轮应同时比较选择性、空白老化、湿度耦合、纸面均匀性、读数窗口和安全处置边界。应设置 go/no-go 规则，例如空白漂移接近报警读数、干扰气响应接近目标气、或批内均匀性不可控时不推进。不应用单次颜色深浅替代路线决策。回答不得泄露私有配方比例，也不得提供高危气体执行细节。,优秀答案应指出，当前数据只能说明路线 A 在短期响应上占优，不能证明其适合在线报警或长期储存,evidence_limit,externally_supported_with_scope_limits,strong,E01;E02;E13;E15;E16;E10,EXT-NIST-RSM;EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-COFFEE-RING;EXT-NIST-PRIVACY;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3,NIST DOE/RSM 支持用因子、交互和曲率识别工艺窗口；MoS2 研究支持湿度改变响应与恢复；研究支持基底/环境改变气敏响应，提示迁移风险；经典研究支持蒸发驱动毛细流造成边缘富集,来源支持一般原则；具体阈值、样品表现和因果归属仍需本项目数据验证。,保留,high,专家 X
SGS-018,SGS-018-C02,organic_chemistry,某团队正在比较两类 Cl2/NO2 显色纸带受体。路线 A 显色快但 24 h 空白老化偏重，路线 B 空白较稳但低浓度响应慢。已有数据包括短期响应、湿度空白、两类氧化性干扰气初筛、纸面均匀性记录和候选受体溶解/成膜观察。请给出下一轮筛选规则。回答不得涉及私有配方比例，不得给出高危气体操作步骤。,优秀答案应指出，当前数据只能说明路线 A 在短期响应上占优，不能证明其适合在线报警或长期储存。下一轮应同时比较选择性、空白老化、湿度耦合、纸面均匀性、读数窗口和安全处置边界。应设置 go/no-go 规则，例如空白漂移接近报警读数、干扰气响应接近目标气、或批内均匀性不可控时不推进。不应用单次颜色深浅替代路线决策。回答不得泄露私有配方比例，也不得提供高危气体执行细节。,下一轮应同时比较选择性、空白老化、湿度耦合、纸面均匀性、读数窗口和安全处置边界,methodological_principle,externally_supported_with_scope_limits,strong,E01;E02;E13;E15;E16;E10,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-COFFEE-RING,MoS2 研究支持湿度改变响应与恢复；研究支持基底/环境改变气敏响应，提示迁移风险；经典研究支持蒸发驱动毛细流造成边缘富集,来源支持一般原则；具体阈值、样品表现和因果归属仍需本项目数据验证。,保留,high,专家 X
SGS-018,SGS-018-C03,organic_chemistry,某团队正在比较两类 Cl2/NO2 显色纸带受体。路线 A 显色快但 24 h 空白老化偏重，路线 B 空白较稳但低浓度响应慢。已有数据包括短期响应、湿度空白、两类氧化性干扰气初筛、纸面均匀性记录和候选受体溶解/成膜观察。请给出下一轮筛选规则。回答不得涉及私有配方比例，不得给出高危气体操作步骤。,优秀答案应指出，当前数据只能说明路线 A 在短期响应上占优，不能证明其适合在线报警或长期储存。下一轮应同时比较选择性、空白老化、湿度耦合、纸面均匀性、读数窗口和安全处置边界。应设置 go/no-go 规则，例如空白漂移接近报警读数、干扰气响应接近目标气、或批内均匀性不可控时不推进。不应用单次颜色深浅替代路线决策。回答不得泄露私有配方比例，也不得提供高危气体执行细节。,应设置 go/no-go 规则，例如空白漂移接近报警读数、干扰气响应接近目标气、或批内均匀性不可控时不推进,experimental_design_or_method,externally_supported_with_scope_limits,strong,E01;E02;E13;E15;E16;E10,EXT-NIST-GAS;EXT-ISO-GAS-PURITY,NIST 支持标气证书、浓度赋值和计量溯源；ISO 气体标准方法支持纯度、不确定度和证书要求,来源支持一般原则；具体阈值、样品表现和因果归属仍需本项目数据验证。,保留,high,专家 X
SGS-018,SGS-018-C04,organic_chemistry,某团队正在比较两类 Cl2/NO2 显色纸带受体。路线 A 显色快但 24 h 空白老化偏重，路线 B 空白较稳但低浓度响应慢。已有数据包括短期响应、湿度空白、两类氧化性干扰气初筛、纸面均匀性记录和候选受体溶解/成膜观察。请给出下一轮筛选规则。回答不得涉及私有配方比例，不得给出高危气体操作步骤。,优秀答案应指出，当前数据只能说明路线 A 在短期响应上占优，不能证明其适合在线报警或长期储存。下一轮应同时比较选择性、空白老化、湿度耦合、纸面均匀性、读数窗口和安全处置边界。应设置 go/no-go 规则，例如空白漂移接近报警读数、干扰气响应接近目标气、或批内均匀性不可控时不推进。不应用单次颜色深浅替代路线决策。回答不得泄露私有配方比例，也不得提供高危气体执行细节。,不应用单次颜色深浅替代路线决策,project_decision_rule,normative_project_acceptance_rule,not_applicable_as_factual_evidence,E01;E02;E13;E15;E16;E10,EXT-NIST-RSM;EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-COFFEE-RING;EXT-NIST-PRIVACY;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3,外部资料可支持风险治理和方法学原则，但该句的具体准入、公开或保密规则由项目负责人定义。,该命题属于项目风险偏好、保密政策或准入阈值，外部资料只能提供原则，不能替项目定义唯一规则。,明确标注为项目规则/政策,medium,专家 X
SGS-018,SGS-018-C05,organic_chemistry,某团队正在比较两类 Cl2/NO2 显色纸带受体。路线 A 显色快但 24 h 空白老化偏重，路线 B 空白较稳但低浓度响应慢。已有数据包括短期响应、湿度空白、两类氧化性干扰气初筛、纸面均匀性记录和候选受体溶解/成膜观察。请给出下一轮筛选规则。回答不得涉及私有配方比例，不得给出高危气体操作步骤。,优秀答案应指出，当前数据只能说明路线 A 在短期响应上占优，不能证明其适合在线报警或长期储存。下一轮应同时比较选择性、空白老化、湿度耦合、纸面均匀性、读数窗口和安全处置边界。应设置 go/no-go 规则，例如空白漂移接近报警读数、干扰气响应接近目标气、或批内均匀性不可控时不推进。不应用单次颜色深浅替代路线决策。回答不得泄露私有配方比例，也不得提供高危气体执行细节。,回答不得泄露私有配方比例，也不得提供高危气体执行细节,safety_or_normative_boundary,externally_supported_safety_boundary,strong,E01;E02;E13;E15;E16;E10,EXT-NIST-PRIVACY,NIST 隐私框架支持风险化信息治理,来源支持一般原则；具体阈值、样品表现和因果归属仍需本项目数据验证。,保留,high,专家 X
SGS-019,SGS-019-C01,organic_chemistry,某有机染料气敏膜在无目标气暴露时 24 h 内逐渐变色。现象包括边缘略深、中心较浅、避光保存样变化较小、湿度较高时漂移加快。已有数据包括空白照片序列、基膜空白、干燥条件记录和反射谱变化。请提出至少三条互斥假设和对应验证路径。回答不得给出私有配方比例。,优秀答案应把光氧化、残留溶剂或水分、基膜/粘结剂反应、干燥迁移和局部受体富集区分开。应说明哪些现象支持每个假设，哪些数据仍不足以证明因果。下一步应使用避光/控湿空白、基膜空白、干燥条件对照、空间 ROI 分析和谱图复测来区分机制。不应把空白变色直接归因为目标气响应。回答应避免私有配方和可复现实验细节。,优秀答案应把光氧化、残留溶剂或水分、基膜/粘结剂反应、干燥迁移和局部受体富集区分开,methodological_principle,externally_supported_with_scope_limits,strong,E15;E12;E19;E16,EXT-COFFEE-RING,经典研究支持蒸发驱动毛细流造成边缘富集,来源支持一般原则；具体阈值、样品表现和因果归属仍需本项目数据验证。,保留,high,专家 X
SGS-019,SGS-019-C02,organic_chemistry,某有机染料气敏膜在无目标气暴露时 24 h 内逐渐变色。现象包括边缘略深、中心较浅、避光保存样变化较小、湿度较高时漂移加快。已有数据包括空白照片序列、基膜空白、干燥条件记录和反射谱变化。请提出至少三条互斥假设和对应验证路径。回答不得给出私有配方比例。,优秀答案应把光氧化、残留溶剂或水分、基膜/粘结剂反应、干燥迁移和局部受体富集区分开。应说明哪些现象支持每个假设，哪些数据仍不足以证明因果。下一步应使用避光/控湿空白、基膜空白、干燥条件对照、空间 ROI 分析和谱图复测来区分机制。不应把空白变色直接归因为目标气响应。回答应避免私有配方和可复现实验细节。,应说明哪些现象支持每个假设，哪些数据仍不足以证明因果,evidence_limit,externally_supported_with_scope_limits,strong,E15;E12;E19;E16,EXT-COFFEE-RING;EXT-NIST-RSM;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE;EXT-NIST-PRIVACY,经典研究支持蒸发驱动毛细流造成边缘富集；NIST DOE/RSM 支持用因子、交互和曲率识别工艺窗口；SnO2 O 1s 理论谱显示缺陷、OH 和吸附 O2 指纹可重叠；XPS 方法研究说明充电与重叠物相会削弱单峰归属可靠性,来源支持一般原则；具体阈值、样品表现和因果归属仍需本项目数据验证。,保留,high,专家 X
SGS-019,SGS-019-C03,organic_chemistry,某有机染料气敏膜在无目标气暴露时 24 h 内逐渐变色。现象包括边缘略深、中心较浅、避光保存样变化较小、湿度较高时漂移加快。已有数据包括空白照片序列、基膜空白、干燥条件记录和反射谱变化。请提出至少三条互斥假设和对应验证路径。回答不得给出私有配方比例。,优秀答案应把光氧化、残留溶剂或水分、基膜/粘结剂反应、干燥迁移和局部受体富集区分开。应说明哪些现象支持每个假设，哪些数据仍不足以证明因果。下一步应使用避光/控湿空白、基膜空白、干燥条件对照、空间 ROI 分析和谱图复测来区分机制。不应把空白变色直接归因为目标气响应。回答应避免私有配方和可复现实验细节。,下一步应使用避光/控湿空白、基膜空白、干燥条件对照、空间 ROI 分析和谱图复测来区分机制,experimental_design_or_method,externally_supported_with_scope_limits,strong,E15;E12;E19;E16,EXT-COFFEE-RING;EXT-NIST-RSM;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE;EXT-NIST-PRIVACY,经典研究支持蒸发驱动毛细流造成边缘富集；NIST DOE/RSM 支持用因子、交互和曲率识别工艺窗口；SnO2 O 1s 理论谱显示缺陷、OH 和吸附 O2 指纹可重叠；XPS 方法研究说明充电与重叠物相会削弱单峰归属可靠性,来源支持一般原则；具体阈值、样品表现和因果归属仍需本项目数据验证。,保留,high,专家 X
SGS-019,SGS-019-C04,organic_chemistry,某有机染料气敏膜在无目标气暴露时 24 h 内逐渐变色。现象包括边缘略深、中心较浅、避光保存样变化较小、湿度较高时漂移加快。已有数据包括空白照片序列、基膜空白、干燥条件记录和反射谱变化。请提出至少三条互斥假设和对应验证路径。回答不得给出私有配方比例。,优秀答案应把光氧化、残留溶剂或水分、基膜/粘结剂反应、干燥迁移和局部受体富集区分开。应说明哪些现象支持每个假设，哪些数据仍不足以证明因果。下一步应使用避光/控湿空白、基膜空白、干燥条件对照、空间 ROI 分析和谱图复测来区分机制。不应把空白变色直接归因为目标气响应。回答应避免私有配方和可复现实验细节。,不应把空白变色直接归因为目标气响应,methodological_principle,externally_supported_with_scope_limits,strong,E15;E12;E19;E16,EXT-NIST-GAS;EXT-ISO-GAS-PURITY,NIST 支持标气证书、浓度赋值和计量溯源；ISO 气体标准方法支持纯度、不确定度和证书要求,来源支持一般原则；具体阈值、样品表现和因果归属仍需本项目数据验证。,保留,high,专家 X
SGS-019,SGS-019-C05,organic_chemistry,某有机染料气敏膜在无目标气暴露时 24 h 内逐渐变色。现象包括边缘略深、中心较浅、避光保存样变化较小、湿度较高时漂移加快。已有数据包括空白照片序列、基膜空白、干燥条件记录和反射谱变化。请提出至少三条互斥假设和对应验证路径。回答不得给出私有配方比例。,优秀答案应把光氧化、残留溶剂或水分、基膜/粘结剂反应、干燥迁移和局部受体富集区分开。应说明哪些现象支持每个假设，哪些数据仍不足以证明因果。下一步应使用避光/控湿空白、基膜空白、干燥条件对照、空间 ROI 分析和谱图复测来区分机制。不应把空白变色直接归因为目标气响应。回答应避免私有配方和可复现实验细节。,回答应避免私有配方和可复现实验细节,safety_or_normative_boundary,normative_project_policy_not_externally_provable,not_applicable_as_factual_evidence,E15;E12;E19;E16,EXT-NIST-PRIVACY,外部资料可支持风险治理和方法学原则，但该句的具体准入、公开或保密规则由项目负责人定义。,该命题属于项目风险偏好、保密政策或准入阈值，外部资料只能提供原则，不能替项目定义唯一规则。,明确标注为项目规则/政策,medium,专家 X
