item_id,domain,question,reference_answer,reference_origin,claim_count,overall_external_evidence_verdict,factual_support_status,methodological_support_status,safety_support_status,external_source_coverage,evidence_cluster_ids,source_ids,major_gap_or_boundary,recommended_reference_revision,v0_6_action,future_release_action,confidence,review_identity
SGS-018,organic_chemistry,某团队正在比较两类 Cl2/NO2 显色纸带受体。路线 A 显色快但 24 h 空白老化偏重，路线 B 空白较稳但低浓度响应慢。已有数据包括短期响应、湿度空白、两类氧化性干扰气初筛、纸面均匀性记录和候选受体溶解/成膜观察。请给出下一轮筛选规则。回答不得涉及私有配方比例，不得给出高危气体操作步骤。,优秀答案应指出，当前数据只能说明路线 A 在短期响应上占优，不能证明其适合在线报警或长期储存。下一轮应同时比较选择性、空白老化、湿度耦合、纸面均匀性、读数窗口和安全处置边界。应设置 go/no-go 规则，例如空白漂移接近报警读数、干扰气响应接近目标气、或批内均匀性不可控时不推进。不应用单次颜色深浅替代路线决策。回答不得泄露私有配方比例，也不得提供高危气体执行细节。,frozen_reference_answer,5,supported_with_boundary,strong,supported_with_project_specific_thresholds,official_sources_available,complete_cluster_mapping_with_claim_level_sources,E01;E02;E13;E15;E16;E10,EXT-NIST-RSM;EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-COFFEE-RING;EXT-NIST-PRIVACY;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIST-GAS;EXT-ISO-GAS-PURITY,External evidence supports multi-metric route screening and safety boundaries; exact go/no-go thresholds are project decisions.,"Rewrite thresholds as project-defined acceptance criteria, not literature facts.",retain_frozen_reference_record_audit_only,revise_reference_boundary,medium,专家 X
SGS-019,organic_chemistry,某有机染料气敏膜在无目标气暴露时 24 h 内逐渐变色。现象包括边缘略深、中心较浅、避光保存样变化较小、湿度较高时漂移加快。已有数据包括空白照片序列、基膜空白、干燥条件记录和反射谱变化。请提出至少三条互斥假设和对应验证路径。回答不得给出私有配方比例。,优秀答案应把光氧化、残留溶剂或水分、基膜/粘结剂反应、干燥迁移和局部受体富集区分开。应说明哪些现象支持每个假设，哪些数据仍不足以证明因果。下一步应使用避光/控湿空白、基膜空白、干燥条件对照、空间 ROI 分析和谱图复测来区分机制。不应把空白变色直接归因为目标气响应。回答应避免私有配方和可复现实验细节。,frozen_reference_answer,5,partially_supported,mixed,supported_with_project_specific_thresholds,not_primary_focus,complete_cluster_mapping_with_claim_level_sources,E15;E12;E19;E16,EXT-COFFEE-RING;EXT-NIST-RSM;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE;EXT-NIST-PRIVACY;EXT-NIST-GAS;EXT-ISO-GAS-PURITY,Listed causes are plausible competing hypotheses; none is established by the observed color drift alone.,Use “candidate causes” consistently and avoid implying a fixed causal order without controls.,retain_frozen_reference_record_audit_only,revise_reference_boundary,medium,专家 X
SGS-030,physical_chemistry,某 MOS 气敏材料在两个温度窗口下记录了目标气响应速率常数。实验阶段是结果分析，已有数据包括响应曲线拟合、温度记录、重复性记录和基线漂移说明。请说明如何估算表观活化能，并解释为什么该数值在气敏材料中只能谨慎解释。回答不得把计算值当成单一反应机理证明。,优秀答案应说明可用 Arrhenius 关系处理速率常数，用 ln k 对 1/T 的斜率估算表观活化能。证据边界是，该数值混合了吸附、表面反应、扩散、材料状态变化和读数模型影响。下一步应检查拟合区间、重复性、温度稳定、基线漂移和不同浓度窗口的一致性。不应把单一斜率直接解释为唯一机理或催化路径。,frozen_reference_answer,4,supported_with_boundary,strong,supported_with_project_specific_thresholds,not_primary_focus,complete_cluster_mapping_with_claim_level_sources,E03;E05;E12,EXT-ARRHENIUS;EXT-LOD;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIST-RSM,Arrhenius calculation and apparent-energy boundary are methodologically supported.,Add the exact equation and state that only two temperatures provide a coarse estimate.,retain_frozen_reference_record_audit_only,revise_reference_boundary,medium,专家 X
SGS-031,physical_chemistry,某 NO2 电阻式传感器在短期测试中响应上升很快，但恢复阶段明显拖尾。当前阶段是实验设计，已有数据包括阶跃响应曲线、恢复曲线、湿度记录和一次重复循环。请设计一轮不超过六项的动力学验证，用于区分真实吸附/反应滞后、腔体滞留、温湿度扰动和数据处理偏差。回答不得提供危险气体操作 SOP。,优秀答案应包含空白阶跃、目标气阶跃、恢复气验证、固定温湿条件、重复循环和 T90/漂移记录。应说明每项验证分别区分腔体滞留、表面吸附、温湿扰动和算法窗口影响。下一步应设定恢复失败或漂移超界时的 no-go 条件。不应只提高浓度或只比较峰值。回答不得提供危险气体执行步骤。,frozen_reference_answer,5,supported_with_boundary,strong,supported_with_project_specific_thresholds,official_sources_available,complete_cluster_mapping_with_claim_level_sources,E04;E05;E02;E12;E10,EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-NIST-RSM;EXT-NIOSH-H2S;EXT-NIOSH-CL2,Blank/step/recovery/temperature-humidity controls are sound; no-go thresholds remain project-specific.,"Separate chamber memory, material recovery and algorithm-window tests explicitly.",retain_frozen_reference_record_audit_only,revise_reference_boundary,medium,专家 X
SGS-033,physical_chemistry,某传感器在低流量切换到高流量后，响应变快但峰值下降。已有数据包括流量记录、目标气稀释记录、腔体空白、湿度曲线和重复响应。请给出两个以上可能机理和验证方式，区分外部传质、停留时间、混合误差和温湿扰动。,优秀答案应区分外部传质改善、停留时间降低、稀释或混合误差、湿度/温度扰动和腔体记忆效应。应提出流量空白、浓度校验、湿度同步记录、固定浓度复测和腔体更换或旁路验证。证据边界是，响应变快不能单独证明材料动力学改善。不应只把峰值下降归因于材料失效。,frozen_reference_answer,4,supported_with_boundary,strong,supported_with_project_specific_thresholds,not_primary_focus,complete_cluster_mapping_with_claim_level_sources,E04;E11;E02;E05,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-NIST-GAS;EXT-MOS-CONDUCTANCE;EXT-ISO-GAS-PURITY;EXT-ZNO-NANOWIRE,"Flow, residence time, dilution, humidity and chamber-memory confounding are scientifically credible.",Avoid treating faster response as proof of intrinsic kinetics.,retain_frozen_reference_record_audit_only,revise_reference_boundary,medium,专家 X
SGS-032,physical_chemistry,某 NH3 传感膜在中湿条件下可重复，但高湿下基线漂移和响应滞后同时增加。已有数据包括湿度空白、目标气阶跃、目标气+湿度组合、校准残差和重复循环。请判断湿度应作为可补偿变量还是写入使用边界，并给出下一步验证。,优秀答案应比较湿度响应的可逆性、重复性、与目标气交互、滞后和校准残差。如果湿度空白可建模且目标气响应残差可控，可以暂作为补偿变量。如果目标气+湿度组合产生不可逆漂移或残差超出读数需求，应把湿度写入使用边界。下一步应补充组合矩阵、滞后复测和独立验证集。,frozen_reference_answer,4,supported_with_boundary,strong,supported_with_project_specific_thresholds,not_primary_focus,complete_cluster_mapping_with_claim_level_sources,E02;E12;E13,EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-NIST-RSM,"Humidity compensation requires reversibility, residual analysis and independent validation; exact residual limits are use-case-defined.",Label compensation acceptance limits as project requirements.,retain_frozen_reference_record_audit_only,revise_reference_boundary,medium,专家 X
SGS-072,general_chemistry,某目标气低浓度验证需要由已知浓度母气和零气稀释得到，系统要求总流量固定。当前只需要说明计算思路和误差来源，不需要给出可执行配气步骤。请写出如何用浓度守恒估算目标气流量，并列出至少两类非计算误差来源。,优秀答案应使用浓度守恒关系说明目标气流量占比由目标浓度和母气浓度决定，零气补足总流量。应指出非计算误差包括 MFC 校准、吸附损失、泄漏、湿度、母气证书和管路记忆效应。证据边界是，计算正确不代表实际暴露浓度准确。不应提供高危气体执行 SOP 或绕过校准的建议。,frozen_reference_answer,4,supported,strong,supported_with_project_specific_thresholds,official_sources_available,complete_cluster_mapping_with_claim_level_sources,E11;E04;E10,EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-MOS-CONDUCTANCE;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO,Concentration conservation and calibration/line-loss uncertainty are externally supported.,Retain high-level calculation only; no operational toxic-gas procedure.,retain_frozen_reference_record_audit_only,retain,high,专家 X
SGS-081,analytical_chemistry,某 NO2 传感器准备从材料筛选进入稳定性验证。已有数据包括短期响应、恢复曲线、湿度空白和少量干扰气记录。请写一个最小验证表，覆盖目标气、干扰气、湿度和重复性，并说明每一类数据如何进入 go/no-go 判断。,优秀答案应包含低/中/高目标气窗口、氧化性和还原性干扰、湿度点、空白、重复循环、响应/恢复/漂移指标和判定规则。应说明哪些数据用于选择性，哪些用于稳定性，哪些用于使用边界。不应只列测试项目而不说明决策逻辑。回答不得提供危险气体操作步骤。,frozen_reference_answer,4,supported_with_boundary,strong,supported_with_project_specific_thresholds,official_sources_available,complete_cluster_mapping_with_claim_level_sources,E02;E12;E13;E22;E10,EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-NIST-RSM;EXT-LOD;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO,The validation matrix is methodologically sound; concentration points and pass/fail thresholds need project definition.,Add explicit blank and independent validation set fields.,retain_frozen_reference_record_audit_only,revise_reference_boundary,medium,专家 X
SGS-082,analytical_chemistry,同批气敏器件中有少数样品响应远高于其他样品，同时该样品的基线噪声和接触电阻记录也略异常。已有数据包括原始曲线、器件照片、电极检查记录、气路日志和批内统计。请写出处理规则，说明是否删除、标注或复测。,优秀答案应先保留原始数据，复核器件、电极、气路和数据处理，再按预注册异常规则标注。如果发现明确测量或器件缺陷，可标注剔除并保留原因；如果原因不明，应报告含/不含异常点的结果并复测。不应为了提高均值或降低方差直接删除。应说明异常点可能提示真实批内不一致。,frozen_reference_answer,5,supported,strong,supported_with_project_specific_thresholds,not_primary_focus,complete_cluster_mapping_with_claim_level_sources,E14;E12,EXT-NIST-OUTLIERS;EXT-ROBUST-STATS;EXT-NIST-RSM,Outlier handling closely matches NIST and robust-statistics guidance.,Retain raw-data preservation and sensitivity analysis language.,retain_frozen_reference_record_audit_only,retain,high,专家 X
SGS-092,technical_chemistry,某显色纸带从手工浸渍转入连续浸渍小试后，出现纸面色差和批内响应波动。已有信息包括槽液状态、线速度记录、干燥条件、基膜批次、前后段取样和读数 ROI。请设计一个六因素以内 DOE，并说明响应指标和判定逻辑。不得写私有配方比例。,优秀答案应覆盖槽液状态、线速度、浸渍时间、干燥条件、基膜批次和前后段取样。响应指标应包括空白、均匀性、目标气响应、漂移和批内/批间差异。应说明 DOE 用于识别工艺窗口而不是泄露配方。不应给出私有比例或把单一外观均匀性当成放大成功。,frozen_reference_answer,4,supported_with_boundary,strong,supported_with_project_specific_thresholds,not_primary_focus,complete_cluster_mapping_with_claim_level_sources,E09;E15;E21;E16,EXT-NIST-RSM;EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-COFFEE-RING;EXT-NIST-PRIVACY,DOE/process-window design is well supported; selected factors and release redaction are project-specific.,Distinguish screening DOE from response-surface optimization.,retain_frozen_reference_record_audit_only,revise_reference_boundary,medium,专家 X
