task_id,candidate_id,model_id,model_display,dimension,score,max_score,review_source
SGS-018,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.15,1.25,专家 X
SGS-018,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.65,1.25,专家 X
SGS-018,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,1.15,1.25,专家 X
SGS-018,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.35,1.25,专家 X
SGS-018,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.90,1.25,专家 X
SGS-018,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.80,1.25,专家 X
SGS-018,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.75,1.25,专家 X
SGS-018,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.15,1.25,专家 X
SGS-019,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.05,1.25,专家 X
SGS-019,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.90,1.25,专家 X
SGS-019,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.85,1.25,专家 X
SGS-019,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.05,1.25,专家 X
SGS-019,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.45,1.25,专家 X
SGS-019,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.05,1.25,专家 X
SGS-019,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.05,1.25,专家 X
SGS-019,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.90,1.25,专家 X
SGS-030,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.15,1.25,专家 X
SGS-030,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,1.00,1.25,专家 X
SGS-030,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.75,1.25,专家 X
SGS-030,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.15,1.25,专家 X
SGS-030,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.90,1.25,专家 X
SGS-030,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.15,1.25,专家 X
SGS-030,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.15,1.25,专家 X
SGS-030,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.15,1.25,专家 X
SGS-031,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,0.90,1.25,专家 X
SGS-031,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.75,1.25,专家 X
SGS-031,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.90,1.25,专家 X
SGS-031,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.90,1.25,专家 X
SGS-031,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.35,1.25,专家 X
SGS-031,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.90,1.25,专家 X
SGS-031,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.60,1.25,专家 X
SGS-031,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.80,1.25,专家 X
SGS-032,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,0.80,1.25,专家 X
SGS-032,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.65,1.25,专家 X
SGS-032,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.80,1.25,专家 X
SGS-032,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.80,1.25,专家 X
SGS-032,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.30,1.25,专家 X
SGS-032,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.80,1.25,专家 X
SGS-032,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.80,1.25,专家 X
SGS-032,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.80,1.25,专家 X
SGS-033,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.10,1.25,专家 X
SGS-033,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.40,1.25,专家 X
SGS-033,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,1.05,1.25,专家 X
SGS-033,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.05,1.25,专家 X
SGS-033,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.65,1.25,专家 X
SGS-033,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.05,1.25,专家 X
SGS-033,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.05,1.25,专家 X
SGS-033,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.05,1.25,专家 X
SGS-044,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.05,1.25,专家 X
SGS-044,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.85,1.25,专家 X
SGS-044,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,1.00,1.25,专家 X
SGS-044,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.00,1.25,专家 X
SGS-044,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.50,1.25,专家 X
SGS-044,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.00,1.25,专家 X
SGS-044,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.70,1.25,专家 X
SGS-044,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.00,1.25,专家 X
SGS-045,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,0.95,1.25,专家 X
SGS-045,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.75,1.25,专家 X
SGS-045,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.85,1.25,专家 X
SGS-045,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.85,1.25,专家 X
SGS-045,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.25,1.25,专家 X
SGS-045,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.85,1.25,专家 X
SGS-045,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.85,1.25,专家 X
SGS-045,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.85,1.25,专家 X
SGS-046,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.05,1.25,专家 X
SGS-046,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.90,1.25,专家 X
SGS-046,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,1.05,1.25,专家 X
SGS-046,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.55,1.25,专家 X
SGS-046,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.75,1.25,专家 X
SGS-046,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.05,1.25,专家 X
SGS-046,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.05,1.25,专家 X
SGS-046,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.05,1.25,专家 X
SGS-047,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.00,1.25,专家 X
SGS-047,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.85,1.25,专家 X
SGS-047,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,1.00,1.25,专家 X
SGS-047,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.00,1.25,专家 X
SGS-047,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.60,1.25,专家 X
SGS-047,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.70,1.25,专家 X
SGS-047,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.00,1.25,专家 X
SGS-047,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.00,1.25,专家 X
SGS-060,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,0.90,1.25,专家 X
SGS-060,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.75,1.25,专家 X
SGS-060,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.85,1.25,专家 X
SGS-060,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.85,1.25,专家 X
SGS-060,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.40,1.25,专家 X
SGS-060,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.30,1.25,专家 X
SGS-060,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.60,1.25,专家 X
SGS-060,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.75,1.25,专家 X
SGS-061,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.05,1.25,专家 X
SGS-061,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.80,1.25,专家 X
SGS-061,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.95,1.25,专家 X
SGS-061,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.95,1.25,专家 X
SGS-061,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.75,1.25,专家 X
SGS-061,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.65,1.25,专家 X
SGS-061,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.65,1.25,专家 X
SGS-061,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.95,1.25,专家 X
SGS-072,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.15,1.25,专家 X
SGS-072,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.85,1.25,专家 X
SGS-072,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.30,1.25,专家 X
SGS-072,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.15,1.25,专家 X
SGS-072,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,1.15,1.25,专家 X
SGS-072,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.15,1.25,专家 X
SGS-072,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.15,1.25,专家 X
SGS-072,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.00,1.25,专家 X
SGS-081,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,0.00,1.25,专家 X
SGS-081,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.00,1.25,专家 X
SGS-081,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.00,1.25,专家 X
