item_id,domain,question,gold_letter,gold_option_text,gold_option_audit_verdict,item_validity_verdict,gold_reference_status,audit_priority,option_set_verdict,defensible_non_gold_count,defensible_non_gold_letters,strong_contextual_distractor_count,unsafe_option_count,evidence_cluster_ids,source_ids,key_finding,v0_6_action,future_release_action,confidence,review_identity
SGS-001,organic_chemistry,某氯气显色纸带使用芳香胺作受体。配方在水加入后变浑浊，但干燥后仍能变色。下一步最稳妥的判断是？,A,复配澄清窗口并验证干膜均匀显色,supported_but_not_unique,ambiguous_multiple_defensible,gold_preferred_but_not_unique,P1,gold_uniqueness_or_validity_failure,1,D,2,0,E05;E10;E12;E15;E20,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO;EXT-NIST-RSM;EXT-COFFEE-RING,A概括了相容性与干膜验证，但D同样直接针对析出边界，二者存在包含/重叠关系。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-002,organic_chemistry,PANI 薄膜对 NH3 响应很强，但 80%RH 下基线持续上移。最适合先排查的是？,B,拆分去质子化响应与吸水膨胀漂移,supported_but_not_unique,ambiguous_multiple_defensible,gold_conceptually_correct,P1,gold_uniqueness_or_validity_failure,1,C,1,0,E02;E05;E08;E19,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-PANI-VIRJI;EXT-PANI-INKJET;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE,B是机制拆分目标，C是实现该拆分的直接湿度阶跃实验；作为“先排查”两者都可辩护。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-003,organic_chemistry,金属卟啉阵列用于胺类气体识别。若某通道对水汽也响应，最合理的处理是？,C,引入湿度校正通道参与阵列模型,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_reasonable,P2,minor_option_set_caveat,0,,2,0,E02;E15,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-COFFEE-RING,把湿度作为阵列协变量或校正信息合理；“湿度校正通道”措辞略含糊，但C仍最符合。,retain_frozen_record_audit_only,retain_with_documented_caveat,medium_high,专家 X
SGS-004,organic_chemistry,三芳甲烷类染料遇强氧化气体褪色明显。若目标是 NO2 定量，最需要加入的验证是？,D,加入臭氧和氯气共存干扰验证,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_reasonable,P2,minor_option_set_caveat,0,,2,0,E05;E10;E12;E22,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO;EXT-NIST-RSM;EXT-LOD,NO2定量前检查O3、Cl2等氧化性干扰合理，但实际干扰集不应限于这两种气体。,retain_frozen_record_audit_only,retain_with_documented_caveat,medium_high,专家 X
SGS-005,organic_chemistry,某荧光受体在极性溶剂中长波发射增强。把它用于气敏薄膜时，最不能直接推出的是？,A,把薄膜气体响应归因为 TICT 主导,supported_unique_best,valid,gold_unique,P3,clean_option_set,0,,2,0,E02;E12,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-NIST-RSM,溶液TICT线索不能直接证明薄膜气体响应由TICT主导，证据边界清楚。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-006,organic_chemistry,VOC 传感膜改用更亲有机溶剂的粘结剂后，甲苯响应增大但恢复变慢。最佳解释是？,B,吸附分配增强但脱附动力学受限,supported_but_not_unique,ambiguous_multiple_defensible,gold_not_unique,P1,gold_uniqueness_or_validity_failure,2,C;D,0,0,E04;E05;E09;E20,EXT-NIST-GAS;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIST-RSM;EXT-PANI-VIRJI,B的分配增强/脱附受限与C的溶胀扩散受限可同时发生；D的腔体滞留也未被排除，题干不足以单选。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-007,organic_chemistry,氨基硅烷修饰 SiO2 载体用于酸性气体捕获。高湿下响应反而下降，优先考虑什么？,C,验证水竞争吸附或硅烷水解贡献,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_reasonable,P2,minor_option_set_caveat,0,,3,0,E02;E05;E12,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIST-RSM,水竞争和硅烷层水解均是合理候选；A、D是必要对照但不如C概括主假设。,retain_frozen_record_audit_only,retain_with_documented_caveat,medium_high,专家 X
SGS-008,organic_chemistry,醛酮类 VOC 检测拟采用肼类衍生物显色。方案评审中最应优先追问的是？,D,评审肼类暴露控制和废液处置,best_direction_under_supported,valid_but_under_supported,gold_reasonable,P1,major_option_set_caveat,0,,1,0,E10;E13;E15;E18;E22,EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO;EXT-NIST-RSM;EXT-COFFEE-RING;EXT-LOD,肼类路线优先审查暴露与废液边界合理，但具体衍生物危害差异应依SDS而非类别名一概而论。,retain_frozen_record_audit_only,future_release_clarify_conditions_or_source,medium,专家 X
SGS-009,organic_chemistry,比较甲氧基苯胺和硝基苯胺作氧化显色受体，最稳妥的预期是？,A,甲氧基供电子使芳胺更易被氧化,supported_but_not_unique,ambiguous_multiple_defensible,gold_not_unique,P1,gold_uniqueness_or_validity_failure,3,B;C;D,0,0,E13;E15;E20,EXT-NIST-RSM;EXT-COFFEE-RING;EXT-PANI-VIRJI,A、B、C、D均可能成立；甲氧基/硝基影响受异构体、质子化、溶剂和产物路径制约，无法从题干唯一选A。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-010,organic_chemistry,酸碱指示剂膜对 NH3 可逆变色。若用于报警纸带，最应补充哪项测试？,B,做循环暴露恢复和基线漂移测试,supported_unique_best,valid,gold_unique,P3,clean_option_set,0,,2,0,E05;E10;E12;E13;E15,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO;EXT-NIST-RSM;EXT-COFFEE-RING,报警纸带声称可逆时，循环恢复与基线漂移是首要验证。,retain_frozen_record_audit_only,retain,high,专家 X
