model_id,group,correct,total,accuracy
deepseek-v4-pro,no_tool,16,21,0.7619
deepseek-v4-pro,protocol_checklist,10,15,0.6667
deepseek-v4-pro,safety_reference,3,4,0.75
ep-20260703090429-qpmt7,no_tool,18,21,0.8571
ep-20260703090429-qpmt7,protocol_checklist,11,15,0.7333
ep-20260703090429-qpmt7,safety_reference,3,4,0.75
gpt-5.5,no_tool,20,21,0.9524
gpt-5.5,protocol_checklist,11,15,0.7333
gpt-5.5,safety_reference,3,4,0.75
mimo-v2.5-pro,no_tool,20,21,0.9524
mimo-v2.5-pro,protocol_checklist,12,15,0.8
mimo-v2.5-pro,safety_reference,2,4,0.5
