item_id,audit_priority,validity_verdict,difficulty_assessment,diagnostic_value,current_release_action,future_hard_leaderboard_action,key_finding,rewrite_target
SGS-HARD-001,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,A正确限制XPS相关性并补湿度矩阵；“吸附氧比例”本身依赖O 1s拟合归属，应更谨慎表述。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-002,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,晶相/峰值收益与CO干扰和恢复损失冲突，B是直接多目标拆分。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-003,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,高温空白上移会破坏低浓度判别，C正确优先重做空白老化和判别界限。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-004,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,高拟合优度不能覆盖脱附长尾与循环衰减，D正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-005,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,目标显色与湿度空白自显色必须分离，A明确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-006,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,导电/速度收益与低浓度SNR下降需分开评估，B正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-007,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,对照和湿度同样出现弱峰时，应先排除混杂，C正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-008,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,放大后空间不均需要厚度-响应-恢复映射，D直接解决核心问题。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-009,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,目标与干扰斜率相近时选择性是主要风险，A正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-010,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,Hall载流子变化只能解释部分干态现象，B正确纳入湿态迟滞边界。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-011,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,新高湿老化证据支持转向B路线并验证补偿，C合理；仍需定义“接近阈值”和补偿可接受标准。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-012,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,早期斜率能区分而终点重叠，D应更新判别规则。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-013,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,X空白和RSD恶化支持转向Y，A合理；需确认Y达到最低性能门。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-014,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,半透包装更稳但响应慢，B是合理方向；缺少具体场景的响应时间和货架期门限，无法证明唯一取舍。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-015,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,寿命衰减支持转向中温，C合理；高温寿命与中温检测下限的可接受阈值未给出。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-016,P0,invalid_gold_or_reference,overstated,limited_by_obvious_single_best_answer,retire_until_corrected,rewrite_and_revalidate,新增对照证明湿度混杂，正确动作是B“加入湿度控制并重估目标气贡献”；文件Gold D滤波会掩盖混杂，且参考解释也明确支持B。,repair Gold/reference before reuse
SGS-HARD-017,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,T裂纹和衰减、S稳定支持A；实际是否淘汰T仍取决于响应需求和裂纹可修复性。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-018,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,复测显示异常点为高湿批次效应，应标记并分层建模，B正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-019,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,M选择性差、N较好支持转向N，C合理；后处理/多变量分类是否可救回M未给成本和门限。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-020,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,试产一致性优先于峰值，D正确且要求量化性能损失。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-021,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,授权、报警联锁和尾气未确认时no-go，A明确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
