model_id,group,correct,total,accuracy
deepseek-v4-pro,多目标取舍,8,8,1.0
deepseek-v4-pro,安全边界,6,8,0.75
deepseek-v4-pro,工具观察更新,8,8,1.0
deepseek-v4-pro,机理迁移陷阱,6,6,1.0
deepseek-v4-pro,条件更新,9,10,0.9
deepseek-v4-pro,证据冲突,10,10,1.0
ep-20260703090429-qpmt7,多目标取舍,8,8,1.0
ep-20260703090429-qpmt7,安全边界,7,8,0.875
ep-20260703090429-qpmt7,工具观察更新,8,8,1.0
ep-20260703090429-qpmt7,机理迁移陷阱,6,6,1.0
ep-20260703090429-qpmt7,条件更新,9,10,0.9
ep-20260703090429-qpmt7,证据冲突,10,10,1.0
gpt-5.5,多目标取舍,8,8,1.0
gpt-5.5,安全边界,7,8,0.875
gpt-5.5,工具观察更新,8,8,1.0
gpt-5.5,机理迁移陷阱,6,6,1.0
gpt-5.5,条件更新,9,10,0.9
gpt-5.5,证据冲突,10,10,1.0
mimo-v2.5-pro,多目标取舍,8,8,1.0
mimo-v2.5-pro,安全边界,6,8,0.75
mimo-v2.5-pro,工具观察更新,8,8,1.0
mimo-v2.5-pro,机理迁移陷阱,6,6,1.0
mimo-v2.5-pro,条件更新,9,10,0.9
mimo-v2.5-pro,证据冲突,10,10,1.0
