model_id,group,correct,total,accuracy
deepseek-v4-pro,analytical_chemistry,10,11,0.9091
deepseek-v4-pro,general_chemistry,16,16,1.0
deepseek-v4-pro,inorganic_chemistry,12,12,1.0
deepseek-v4-pro,materials_science,19,20,0.95
deepseek-v4-pro,organic_chemistry,21,24,0.875
deepseek-v4-pro,physical_chemistry,13,15,0.8667
deepseek-v4-pro,technical_chemistry,13,13,1.0
deepseek-v4-pro,toxicity_and_safety,11,11,1.0
ep-20260703090429-qpmt7,analytical_chemistry,11,11,1.0
ep-20260703090429-qpmt7,general_chemistry,16,16,1.0
ep-20260703090429-qpmt7,inorganic_chemistry,12,12,1.0
ep-20260703090429-qpmt7,materials_science,19,20,0.95
ep-20260703090429-qpmt7,organic_chemistry,23,24,0.9583
ep-20260703090429-qpmt7,physical_chemistry,14,15,0.9333
ep-20260703090429-qpmt7,technical_chemistry,13,13,1.0
ep-20260703090429-qpmt7,toxicity_and_safety,10,11,0.9091
gpt-5.5,analytical_chemistry,11,11,1.0
gpt-5.5,general_chemistry,16,16,1.0
gpt-5.5,inorganic_chemistry,12,12,1.0
gpt-5.5,materials_science,18,20,0.9
gpt-5.5,organic_chemistry,22,24,0.9167
gpt-5.5,physical_chemistry,14,15,0.9333
gpt-5.5,technical_chemistry,13,13,1.0
gpt-5.5,toxicity_and_safety,11,11,1.0
mimo-v2.5-pro,analytical_chemistry,11,11,1.0
mimo-v2.5-pro,general_chemistry,15,16,0.9375
mimo-v2.5-pro,inorganic_chemistry,12,12,1.0
mimo-v2.5-pro,materials_science,20,20,1.0
mimo-v2.5-pro,organic_chemistry,22,24,0.9167
mimo-v2.5-pro,physical_chemistry,15,15,1.0
mimo-v2.5-pro,technical_chemistry,13,13,1.0
mimo-v2.5-pro,toxicity_and_safety,11,11,1.0
