model_id,group,correct,total,accuracy
deepseek-v4-pro,calculator,9,9,1.0
deepseek-v4-pro,curve_table,1,1,1.0
deepseek-v4-pro,data_plotting,4,5,0.8
deepseek-v4-pro,evidence_table,1,1,1.0
deepseek-v4-pro,literature_excerpt,1,1,1.0
deepseek-v4-pro,literature_retrieval,4,4,1.0
deepseek-v4-pro,mechanism_map,3,3,1.0
deepseek-v4-pro,method_excerpt,1,1,1.0
deepseek-v4-pro,no_tool,52,56,0.9286
deepseek-v4-pro,observation_card,1,1,1.0
deepseek-v4-pro,peak_table,1,1,1.0
deepseek-v4-pro,protocol_checklist,19,21,0.9048
deepseek-v4-pro,safety_reference,9,9,1.0
deepseek-v4-pro,scientific_safety_reference,6,6,1.0
deepseek-v4-pro,table_analysis,3,3,1.0
ep-20260703090429-qpmt7,calculator,9,9,1.0
ep-20260703090429-qpmt7,curve_table,1,1,1.0
ep-20260703090429-qpmt7,data_plotting,4,5,0.8
ep-20260703090429-qpmt7,evidence_table,1,1,1.0
ep-20260703090429-qpmt7,literature_excerpt,1,1,1.0
ep-20260703090429-qpmt7,literature_retrieval,4,4,1.0
ep-20260703090429-qpmt7,mechanism_map,3,3,1.0
ep-20260703090429-qpmt7,method_excerpt,1,1,1.0
ep-20260703090429-qpmt7,no_tool,54,56,0.9643
ep-20260703090429-qpmt7,observation_card,1,1,1.0
ep-20260703090429-qpmt7,peak_table,1,1,1.0
ep-20260703090429-qpmt7,protocol_checklist,20,21,0.9524
ep-20260703090429-qpmt7,safety_reference,9,9,1.0
ep-20260703090429-qpmt7,scientific_safety_reference,6,6,1.0
ep-20260703090429-qpmt7,table_analysis,3,3,1.0
gpt-5.5,calculator,8,9,0.8889
gpt-5.5,curve_table,1,1,1.0
gpt-5.5,data_plotting,5,5,1.0
gpt-5.5,evidence_table,1,1,1.0
gpt-5.5,literature_excerpt,1,1,1.0
gpt-5.5,literature_retrieval,4,4,1.0
gpt-5.5,mechanism_map,3,3,1.0
gpt-5.5,method_excerpt,1,1,1.0
gpt-5.5,no_tool,55,56,0.9821
gpt-5.5,observation_card,1,1,1.0
gpt-5.5,peak_table,1,1,1.0
gpt-5.5,protocol_checklist,19,21,0.9048
gpt-5.5,safety_reference,8,9,0.8889
gpt-5.5,scientific_safety_reference,6,6,1.0
gpt-5.5,table_analysis,3,3,1.0
mimo-v2.5-pro,calculator,9,9,1.0
mimo-v2.5-pro,curve_table,1,1,1.0
mimo-v2.5-pro,data_plotting,5,5,1.0
mimo-v2.5-pro,evidence_table,1,1,1.0
mimo-v2.5-pro,literature_excerpt,1,1,1.0
mimo-v2.5-pro,literature_retrieval,4,4,1.0
mimo-v2.5-pro,mechanism_map,3,3,1.0
mimo-v2.5-pro,method_excerpt,1,1,1.0
mimo-v2.5-pro,no_tool,54,56,0.9643
mimo-v2.5-pro,observation_card,1,1,1.0
mimo-v2.5-pro,peak_table,1,1,1.0
mimo-v2.5-pro,protocol_checklist,21,21,1.0
mimo-v2.5-pro,safety_reference,8,9,0.8889
mimo-v2.5-pro,scientific_safety_reference,6,6,1.0
mimo-v2.5-pro,table_analysis,3,3,1.0
