id,question_type,set,option_profiles,ability_target,failure_mode,R&D relation,decisive_constraint,correct_answer_logic,distractor_design,benchmark_value
SGS-001,multiple_choice,Domain Core,A: best；B: metric_overoptimization；C: locally_true_contextually_wrong；D: safe_in_general_unsafe_here,识别题干中的决定性约束并给出可复核判断。,solubility_context_miss,在文献分析阶段，判断模型能否从有机化学/chromogenic reagents情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,solubility_context_miss,当前语境下最优先，因为“先解决溶液相容性，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,B: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；C: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。；D: 在设施、暴露和废弃物边界已经确认时，这个动作可作为受控探索；但当前安全或设施边界没有闭合，不适合作为首选动作。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-002,multiple_choice,Domain Core,A: metric_overoptimization；B: best；C: metric_overoptimization；D: locally_true_contextually_wrong,识别题干中的决定性约束并给出可复核判断。,humidity_mechanism_blur,在结果分析阶段，判断模型能否从有机化学/conducting polymers情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,humidity_mechanism_blur,当前语境下最优先，因为“区分去质子化与吸水膨胀，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；C: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；D: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-003,multiple_choice,Domain Core,A: locally_true_contextually_wrong；B: metric_overoptimization；C: best；D: mechanism_transfer_error,识别题干中的决定性约束并给出可复核判断。,cross_sensitivity_misuse,在实验设计阶段，判断模型能否从有机化学/porphyrin receptors情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,cross_sensitivity_misuse,当前语境下最优先，因为“加入湿度通道建模，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。；B: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；D: 在材料类型和工况一致时，这个机理假设可能成立；但当前材料、载流子或工况不同，外推会造成机理错配。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-004,multiple_choice,Domain Core,A: data_quality_trap；B: locally_true_contextually_wrong；C: metric_overoptimization；D: best,识别题干中的决定性约束并给出可复核判断。,oxidant_selectivity_gap,在实验设计阶段，判断模型能否从有机化学/dye chemistry情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,oxidant_selectivity_gap,当前语境下最优先，因为“臭氧和氯气干扰，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。；B: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。；C: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-005,multiple_choice,Domain Core,A: correct_boundary_rejection；B: locally_true_contextually_wrong；C: locally_true_contextually_wrong；D: locally_true_contextually_wrong,识别题干中的决定性约束并给出可复核判断。,solution_to_film_overclaim,在文献分析阶段，判断模型能否从有机化学/solvent effects情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,solution_to_film_overclaim,当前语境下最优先，因为“气体响应可能来自 TICT，限定证据边界”最直接回答题干的核心不确定性，并保留必要的证据边界。,B: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。；C: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。；D: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-006,multiple_choice,Domain Core,A: mechanism_transfer_error；B: best；C: evidence_scope_mismatch；D: missing_control,识别题干中的决定性约束并给出可复核判断。,partition_recovery_tradeoff,在结果分析阶段，判断模型能否从有机化学/polymer matrices情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,partition_recovery_tradeoff,当前语境下最优先，因为“吸附量增加但脱附受限，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在材料类型和工况一致时，这个机理假设可能成立；但当前材料、载流子或工况不同，外推会造成机理错配。；C: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。；D: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-007,multiple_choice,Domain Core,A: evidence_scope_mismatch；B: safe_in_general_unsafe_here；C: best；D: missing_control,识别题干中的决定性约束并给出可复核判断。,humidity_competition_miss,在结果分析阶段，判断模型能否从有机化学/surface functionalization情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,humidity_competition_miss,当前语境下最优先，因为“水竞争吸附/水解，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。；B: 在设施、暴露和废弃物边界已经确认时，这个动作可作为受控探索；但当前安全或设施边界没有闭合，不适合作为首选动作。；D: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-008,multiple_choice,Domain Core,A: locally_true_contextually_wrong；B: metric_overoptimization；C: metric_overoptimization；D: best,识别题干中的决定性约束并给出可复核判断。,safety_priority_miss,在安全边界阶段，判断模型能否从有机化学/reactive groups情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,safety_priority_miss,当前语境下最优先，因为“肼类安全和废液，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。；B: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；C: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-009,multiple_choice,Domain Core,A: best；B: mechanism_transfer_error；C: evidence_scope_mismatch；D: missing_control,识别题干中的决定性约束并给出可复核判断。,substituent_overlook,在文献分析阶段，判断模型能否从有机化学/substituent effects情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,substituent_overlook,当前语境下最优先，因为“甲氧基通常更易氧化，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,B: 在材料类型和工况一致时，这个机理假设可能成立；但当前材料、载流子或工况不同，外推会造成机理错配。；C: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。；D: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-010,multiple_choice,Domain Core,A: metric_overoptimization；B: best；C: missing_control；D: locally_true_contextually_wrong,识别题干中的决定性约束并给出可复核判断。,reversibility_not_validated,在文献分析阶段，判断模型能否从有机化学/acid base indicators情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,reversibility_not_validated,当前语境下最优先，因为“循环可逆性和漂移，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；C: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。；D: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
