model_id,group,correct,total,accuracy
deepseek-v4-pro,依数性计算,2,2,1.0
deepseek-v4-pro,兼容性判断,2,2,1.0
deepseek-v4-pro,单元排列,2,2,1.0
deepseek-v4-pro,取向判断,2,2,1.0
deepseek-v4-pro,局部结构,1,2,0.5
deepseek-v4-pro,清洗风险,2,2,1.0
deepseek-v4-pro,烘干风险,2,2,1.0
deepseek-v4-pro,热力学判断,2,2,1.0
deepseek-v4-pro,热注入,2,2,1.0
deepseek-v4-pro,燃烧计量,2,2,1.0
deepseek-v4-pro,结构判断,2,2,1.0
deepseek-v4-pro,聚合条件,2,2,1.0
gpt-5.5,依数性计算,2,2,1.0
gpt-5.5,兼容性判断,2,2,1.0
gpt-5.5,单元排列,2,2,1.0
gpt-5.5,取向判断,2,2,1.0
gpt-5.5,局部结构,2,2,1.0
gpt-5.5,清洗风险,2,2,1.0
gpt-5.5,烘干风险,2,2,1.0
gpt-5.5,热力学判断,2,2,1.0
gpt-5.5,热注入,2,2,1.0
gpt-5.5,燃烧计量,2,2,1.0
gpt-5.5,结构判断,2,2,1.0
gpt-5.5,聚合条件,2,2,1.0
mimo-v2.5-pro,依数性计算,2,2,1.0
mimo-v2.5-pro,兼容性判断,1,2,0.5
mimo-v2.5-pro,单元排列,2,2,1.0
mimo-v2.5-pro,取向判断,2,2,1.0
mimo-v2.5-pro,局部结构,1,2,0.5
mimo-v2.5-pro,清洗风险,2,2,1.0
mimo-v2.5-pro,烘干风险,2,2,1.0
mimo-v2.5-pro,热力学判断,2,2,1.0
mimo-v2.5-pro,热注入,2,2,1.0
mimo-v2.5-pro,燃烧计量,2,2,1.0
mimo-v2.5-pro,结构判断,2,2,1.0
mimo-v2.5-pro,聚合条件,2,2,1.0
