model_id,group,correct,total,accuracy
deepseek-v4-pro,合成机理,1,1,1.0
deepseek-v4-pro,安全合规,3,3,1.0
deepseek-v4-pro,工艺放大,1,1,1.0
deepseek-v4-pro,数据处理,2,2,1.0
deepseek-v4-pro,机理边界,3,3,1.0
deepseek-v4-pro,结构性能关系,1,1,1.0
deepseek-v4-pro,配方设计,1,1,1.0
gpt-5.5,合成机理,1,1,1.0
gpt-5.5,安全合规,3,3,1.0
gpt-5.5,工艺放大,1,1,1.0
gpt-5.5,数据处理,2,2,1.0
gpt-5.5,机理边界,3,3,1.0
gpt-5.5,结构性能关系,1,1,1.0
gpt-5.5,配方设计,1,1,1.0
mimo-v2.5-pro,合成机理,1,1,1.0
mimo-v2.5-pro,安全合规,3,3,1.0
mimo-v2.5-pro,工艺放大,1,1,1.0
mimo-v2.5-pro,数据处理,2,2,1.0
mimo-v2.5-pro,机理边界,3,3,1.0
mimo-v2.5-pro,结构性能关系,1,1,1.0
mimo-v2.5-pro,配方设计,1,1,1.0
