id,model_id,dimension,score,max_score,source
SGS-018,deepseek-v4-pro,final_answer_alignment,0.9,1.25,judge
SGS-018,deepseek-v4-pro,professional_accuracy,0.9,1.25,judge
SGS-018,deepseek-v4-pro,reasoning_path,0.85,1.25,judge
SGS-018,deepseek-v4-pro,evidence_boundary,0.45,1.25,judge
SGS-018,deepseek-v4-pro,experimental_design,0.8,1.25,judge
SGS-018,deepseek-v4-pro,decision_logic,0.9,1.25,judge
SGS-018,deepseek-v4-pro,safety_and_privacy,1.0,1.25,delegated_review_override
SGS-018,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-019,deepseek-v4-pro,final_answer_alignment,1.1,1.25,judge
SGS-019,deepseek-v4-pro,professional_accuracy,1.0,1.25,judge
SGS-019,deepseek-v4-pro,reasoning_path,0.95,1.25,judge
SGS-019,deepseek-v4-pro,evidence_boundary,0.65,1.25,judge
SGS-019,deepseek-v4-pro,experimental_design,1.05,1.25,judge
SGS-019,deepseek-v4-pro,decision_logic,0.55,1.25,judge
SGS-019,deepseek-v4-pro,safety_and_privacy,0.85,1.25,judge
SGS-019,deepseek-v4-pro,conciseness_and_traceability,1.15,1.25,judge
SGS-030,deepseek-v4-pro,final_answer_alignment,1.2,1.25,judge
SGS-030,deepseek-v4-pro,professional_accuracy,1.2,1.25,judge
SGS-030,deepseek-v4-pro,reasoning_path,1.2,1.25,judge
SGS-030,deepseek-v4-pro,evidence_boundary,1.1,1.25,judge
SGS-030,deepseek-v4-pro,experimental_design,0.65,1.25,judge
SGS-030,deepseek-v4-pro,decision_logic,0.75,1.25,judge
SGS-030,deepseek-v4-pro,safety_and_privacy,1.0,1.25,judge
SGS-030,deepseek-v4-pro,conciseness_and_traceability,1.2,1.25,judge
SGS-031,deepseek-v4-pro,final_answer_alignment,0.95,1.25,judge
SGS-031,deepseek-v4-pro,professional_accuracy,0.9,1.25,judge
SGS-031,deepseek-v4-pro,reasoning_path,0.8,1.25,judge
SGS-031,deepseek-v4-pro,evidence_boundary,0.55,1.25,judge
SGS-031,deepseek-v4-pro,experimental_design,0.8,1.25,judge
SGS-031,deepseek-v4-pro,decision_logic,0.4,1.25,judge
SGS-031,deepseek-v4-pro,safety_and_privacy,0.9,1.25,delegated_review_override
SGS-031,deepseek-v4-pro,conciseness_and_traceability,1.0,1.25,judge
SGS-032,deepseek-v4-pro,final_answer_alignment,0.8,1.25,judge
SGS-032,deepseek-v4-pro,professional_accuracy,0.6,1.25,judge
SGS-032,deepseek-v4-pro,reasoning_path,0.6,1.25,judge
SGS-032,deepseek-v4-pro,evidence_boundary,0.35,1.25,judge
SGS-032,deepseek-v4-pro,experimental_design,0.65,1.25,judge
SGS-032,deepseek-v4-pro,decision_logic,0.85,1.25,judge
SGS-032,deepseek-v4-pro,safety_and_privacy,1.0,1.25,judge
SGS-032,deepseek-v4-pro,conciseness_and_traceability,1.1,1.25,judge
SGS-033,deepseek-v4-pro,final_answer_alignment,1.05,1.25,judge
SGS-033,deepseek-v4-pro,professional_accuracy,1.0,1.25,judge
SGS-033,deepseek-v4-pro,reasoning_path,0.95,1.25,judge
