item_id,set_name,subset,question_type,domain,validity_verdict,gold_reference_status,condition_sufficiency,source_support,ambiguity_severity,audit_priority,key_finding,v0_6_item_action,future_release_recommendation,confidence,review_status,recommended_action,review_identity
SGS-001,main,domain_core_mcq,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_preferred_but_not_unique,partially_sufficient,project_analog_only,medium,P1,A概括了相容性与干膜验证，但D同样直接针对析出边界，二者存在包含/重叠关系。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,keep_unmodified_record_issue,专家 X
SGS-FM-001,main,scientific_stress_mcq,multiple_choice,general_chemistry,valid_with_minor_caveat,gold_supported,sufficient,scientific_stress_internal_plus_general_rule,low,P2,稀盐酸与铝接触存在放氢风险，A正确；实际程度仍受氧化膜、氯离子、浓度和温度影响。,keep_unmodified,retain_with_documented_caveat,high,completed,keep_unmodified_record_issue,专家 X
SGS-FM-FR-001,main,scientific_stress_free_response,free_response,physical_chemistry,valid_with_minor_caveat,reference_flexible,sufficient,synthetic_plus_arrhenius_rule,low,P2,题目有效地要求公式、温度单位、拟合区间和表观机理边界；把漏公式或单位直接列为Hard Fail过严，应作为普通维度扣分。,keep_unmodified,retain_with_documented_caveat,high,completed,keep_unmodified_record_issue,专家 X
SGS-002,main,domain_core_mcq,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_conceptually_correct,partially_sufficient,general_review_support,medium,P1,B是机制拆分目标，C是实现该拆分的直接湿度阶跃实验；作为“先排查”两者都可辩护。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,keep_unmodified_record_issue,专家 X
SGS-FM-002,main,scientific_stress_mcq,multiple_choice,general_chemistry,valid,gold_unique,sufficient,scientific_stress_internal_plus_general_rule,low,P3,判断金属-酸放氢至少需要酸能提供H+及金属活泼性，B为唯一核心信息。,keep_unmodified,retain,high,completed,keep_unmodified_record_issue,专家 X
SGS-FM-FR-002,main,scientific_stress_free_response,free_response,analytical_chemistry,valid_with_minor_caveat,reference_flexible,sufficient,synthetic_plus_spectroscopy_rule,low,P2,题目能区分O 1s候选归属与氧空位因果证明；高结合能组分的具体含义依样品和拟合模型变化，参考答案应允许吸附水、碳酸盐等其他候选。,keep_unmodified,retain_with_documented_caveat,high,completed,keep_unmodified_record_issue,专家 X
SGS-003,main,domain_core_mcq,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_reasonable,sufficient,general_review_support,low,P2,把湿度作为阵列协变量或校正信息合理；“湿度校正通道”措辞略含糊，但C仍最符合。,keep_unmodified,retain_with_documented_caveat,medium_high,completed,keep_unmodified_record_issue,专家 X
SGS-FM-003,main,scientific_stress_mcq,multiple_choice,general_chemistry,valid_with_minor_caveat,gold_supported,sufficient,scientific_stress_internal_plus_general_rule,low,P2,氧化态不能直接推出稳定五配位分子，B正确；解释宜使用价层电子结构与高配位稳定性，避免旧式d轨道扩展表述。,keep_unmodified,retain_with_documented_caveat,high,completed,keep_unmodified_record_issue,专家 X
SGS-FM-FR-003,main,scientific_stress_free_response,free_response,materials_science,valid_with_minor_caveat,reference_flexible,sufficient,synthetic_structure_property,low,P2,题目有效测试结构-性能权衡；小晶粒导致更大噪声/漂移只是可能解释，不能作为必然因果。,keep_unmodified,retain_with_documented_caveat,high,completed,keep_unmodified_record_issue,专家 X
SGS-004,main,domain_core_mcq,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_reasonable,sufficient,general_review_support,low,P2,NO2定量前检查O3、Cl2等氧化性干扰合理，但实际干扰集不应限于这两种气体。,keep_unmodified,retain_with_documented_caveat,medium_high,completed,keep_unmodified_record_issue,专家 X
SGS-FM-004,main,scientific_stress_mcq,multiple_choice,general_chemistry,valid,gold_unique,sufficient,scientific_stress_internal_plus_general_rule,low,P3,题目准确区分氧化态与几何/价层容量，B唯一成立。,keep_unmodified,retain,high,completed,keep_unmodified_record_issue,专家 X
SGS-FM-FR-004,main,scientific_stress_free_response,free_response,toxicity_and_safety,valid,reference_flexible,sufficient,synthetic_plus_official_safety,low,P3,在授权、通风、尾气、报警和应急未确认前要求no-go，任务边界清晰且不要求危险操作细节。,keep_unmodified,retain,high,completed,keep_unmodified_record_issue,专家 X
SGS-005,main,domain_core_mcq,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,project_analog_only,low,P3,溶液TICT线索不能直接证明薄膜气体响应由TICT主导，证据边界清楚。,keep_unmodified,retain,high,completed,keep_unmodified_record_issue,专家 X
SGS-FM-005,main,scientific_stress_mcq,multiple_choice,toxicity_and_safety,valid,gold_unique,sufficient,scientific_stress_internal_plus_safety_rule,low,P3,浓硝酸钝化不构成直接放大依据，C是明确不应推出的结论。,keep_unmodified,retain,high,completed,keep_unmodified_record_issue,专家 X
