model_id,group,correct,total,accuracy
deepseek-v4-pro,protocol QA,1,1,1.0
deepseek-v4-pro,下一步计划,1,1,1.0
deepseek-v4-pro,依数性计算,2,2,1.0
deepseek-v4-pro,信息抽取,1,1,1.0
deepseek-v4-pro,兼容性判断,2,2,1.0
deepseek-v4-pro,单元排列,2,2,1.0
deepseek-v4-pro,取向判断,2,2,1.0
deepseek-v4-pro,响应曲线解读,1,1,1.0
deepseek-v4-pro,图谱解读,1,1,1.0
deepseek-v4-pro,安全合规,2,2,1.0
deepseek-v4-pro,安全边界,12,12,1.0
deepseek-v4-pro,实验异常排查,1,1,1.0
deepseek-v4-pro,实验设计,8,9,0.8889
deepseek-v4-pro,实验进行,7,7,1.0
deepseek-v4-pro,局部结构,1,2,0.5
deepseek-v4-pro,故障诊断,1,1,1.0
deepseek-v4-pro,数据处理,1,1,1.0
deepseek-v4-pro,文献分析,10,12,0.8333
deepseek-v4-pro,文献证据判断,1,1,1.0
deepseek-v4-pro,显色机理,1,1,1.0
deepseek-v4-pro,机理边界,1,1,1.0
deepseek-v4-pro,标准曲线,1,1,1.0
deepseek-v4-pro,清洗风险,2,2,1.0
deepseek-v4-pro,烘干风险,2,2,1.0
deepseek-v4-pro,热力学判断,2,2,1.0
deepseek-v4-pro,热注入,2,2,1.0
deepseek-v4-pro,燃烧计量,2,2,1.0
deepseek-v4-pro,结构判断,2,2,1.0
deepseek-v4-pro,结构性能关系,1,1,1.0
deepseek-v4-pro,结果分析,39,42,0.9286
deepseek-v4-pro,聚合条件,2,2,1.0
deepseek-v4-pro,证据冲突,1,1,1.0
ep-20260703090429-qpmt7,protocol QA,1,1,1.0
ep-20260703090429-qpmt7,下一步计划,1,1,1.0
ep-20260703090429-qpmt7,依数性计算,2,2,1.0
ep-20260703090429-qpmt7,信息抽取,1,1,1.0
ep-20260703090429-qpmt7,兼容性判断,2,2,1.0
ep-20260703090429-qpmt7,单元排列,2,2,1.0
ep-20260703090429-qpmt7,取向判断,2,2,1.0
ep-20260703090429-qpmt7,响应曲线解读,1,1,1.0
ep-20260703090429-qpmt7,图谱解读,1,1,1.0
ep-20260703090429-qpmt7,安全合规,2,2,1.0
ep-20260703090429-qpmt7,安全边界,11,12,0.9167
ep-20260703090429-qpmt7,实验异常排查,1,1,1.0
ep-20260703090429-qpmt7,实验设计,9,9,1.0
ep-20260703090429-qpmt7,实验进行,7,7,1.0
ep-20260703090429-qpmt7,局部结构,1,2,0.5
ep-20260703090429-qpmt7,故障诊断,1,1,1.0
ep-20260703090429-qpmt7,数据处理,1,1,1.0
ep-20260703090429-qpmt7,文献分析,12,12,1.0
ep-20260703090429-qpmt7,文献证据判断,1,1,1.0
ep-20260703090429-qpmt7,显色机理,1,1,1.0
ep-20260703090429-qpmt7,机理边界,1,1,1.0
ep-20260703090429-qpmt7,标准曲线,1,1,1.0
ep-20260703090429-qpmt7,清洗风险,2,2,1.0
ep-20260703090429-qpmt7,烘干风险,2,2,1.0
ep-20260703090429-qpmt7,热力学判断,2,2,1.0
ep-20260703090429-qpmt7,热注入,2,2,1.0
ep-20260703090429-qpmt7,燃烧计量,2,2,1.0
ep-20260703090429-qpmt7,结构判断,2,2,1.0
ep-20260703090429-qpmt7,结构性能关系,1,1,1.0
ep-20260703090429-qpmt7,结果分析,40,42,0.9524
ep-20260703090429-qpmt7,聚合条件,2,2,1.0
ep-20260703090429-qpmt7,证据冲突,1,1,1.0
gpt-5.5,protocol QA,1,1,1.0
gpt-5.5,下一步计划,1,1,1.0
gpt-5.5,依数性计算,2,2,1.0
gpt-5.5,信息抽取,1,1,1.0
gpt-5.5,兼容性判断,2,2,1.0
gpt-5.5,单元排列,2,2,1.0
gpt-5.5,取向判断,2,2,1.0
gpt-5.5,响应曲线解读,1,1,1.0
gpt-5.5,图谱解读,1,1,1.0
gpt-5.5,安全合规,2,2,1.0
gpt-5.5,安全边界,12,12,1.0
gpt-5.5,实验异常排查,1,1,1.0
gpt-5.5,实验设计,9,9,1.0
gpt-5.5,实验进行,6,7,0.8571
gpt-5.5,局部结构,2,2,1.0
gpt-5.5,故障诊断,1,1,1.0
gpt-5.5,数据处理,1,1,1.0
gpt-5.5,文献分析,11,12,0.9167
gpt-5.5,文献证据判断,1,1,1.0
gpt-5.5,显色机理,1,1,1.0
gpt-5.5,机理边界,1,1,1.0
gpt-5.5,标准曲线,1,1,1.0
gpt-5.5,清洗风险,2,2,1.0
gpt-5.5,烘干风险,2,2,1.0
gpt-5.5,热力学判断,2,2,1.0
gpt-5.5,热注入,2,2,1.0
gpt-5.5,燃烧计量,1,2,0.5
gpt-5.5,结构判断,2,2,1.0
gpt-5.5,结构性能关系,1,1,1.0
gpt-5.5,结果分析,40,42,0.9524
gpt-5.5,聚合条件,2,2,1.0
gpt-5.5,证据冲突,1,1,1.0
mimo-v2.5-pro,protocol QA,1,1,1.0
mimo-v2.5-pro,下一步计划,1,1,1.0
mimo-v2.5-pro,依数性计算,2,2,1.0
mimo-v2.5-pro,信息抽取,1,1,1.0
mimo-v2.5-pro,兼容性判断,2,2,1.0
mimo-v2.5-pro,单元排列,2,2,1.0
mimo-v2.5-pro,取向判断,2,2,1.0
mimo-v2.5-pro,响应曲线解读,1,1,1.0
mimo-v2.5-pro,图谱解读,1,1,1.0
mimo-v2.5-pro,安全合规,2,2,1.0
mimo-v2.5-pro,安全边界,11,12,0.9167
mimo-v2.5-pro,实验异常排查,1,1,1.0
mimo-v2.5-pro,实验设计,9,9,1.0
mimo-v2.5-pro,实验进行,7,7,1.0
mimo-v2.5-pro,局部结构,1,2,0.5
mimo-v2.5-pro,故障诊断,1,1,1.0
mimo-v2.5-pro,数据处理,1,1,1.0
mimo-v2.5-pro,文献分析,12,12,1.0
mimo-v2.5-pro,文献证据判断,1,1,1.0
mimo-v2.5-pro,显色机理,1,1,1.0
mimo-v2.5-pro,机理边界,1,1,1.0
mimo-v2.5-pro,标准曲线,1,1,1.0
mimo-v2.5-pro,清洗风险,2,2,1.0
mimo-v2.5-pro,烘干风险,2,2,1.0
mimo-v2.5-pro,热力学判断,2,2,1.0
mimo-v2.5-pro,热注入,2,2,1.0
mimo-v2.5-pro,燃烧计量,2,2,1.0
mimo-v2.5-pro,结构判断,2,2,1.0
mimo-v2.5-pro,结构性能关系,1,1,1.0
mimo-v2.5-pro,结果分析,41,42,0.9762
mimo-v2.5-pro,聚合条件,2,2,1.0
mimo-v2.5-pro,证据冲突,1,1,1.0
