item_id,claim_id,domain,question,reference_answer,claim_text,claim_type,external_evidence_verdict,evidence_strength,evidence_cluster_ids,source_ids,support_summary,limitation_or_gap,rewrite_recommendation,confidence,review_identity
SGS-018,SGS-018-C04,organic_chemistry,某团队正在比较两类 Cl2/NO2 显色纸带受体。路线 A 显色快但 24 h 空白老化偏重，路线 B 空白较稳但低浓度响应慢。已有数据包括短期响应、湿度空白、两类氧化性干扰气初筛、纸面均匀性记录和候选受体溶解/成膜观察。请给出下一轮筛选规则。回答不得涉及私有配方比例，不得给出高危气体操作步骤。,优秀答案应指出，当前数据只能说明路线 A 在短期响应上占优，不能证明其适合在线报警或长期储存。下一轮应同时比较选择性、空白老化、湿度耦合、纸面均匀性、读数窗口和安全处置边界。应设置 go/no-go 规则，例如空白漂移接近报警读数、干扰气响应接近目标气、或批内均匀性不可控时不推进。不应用单次颜色深浅替代路线决策。回答不得泄露私有配方比例，也不得提供高危气体执行细节。,不应用单次颜色深浅替代路线决策,project_decision_rule,normative_project_acceptance_rule,not_applicable_as_factual_evidence,E01;E02;E13;E15;E16;E10,EXT-NIST-RSM;EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-COFFEE-RING;EXT-NIST-PRIVACY;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3,外部资料可支持风险治理和方法学原则，但该句的具体准入、公开或保密规则由项目负责人定义。,该命题属于项目风险偏好、保密政策或准入阈值，外部资料只能提供原则，不能替项目定义唯一规则。,明确标注为项目规则/政策,medium,专家 X
SGS-019,SGS-019-C05,organic_chemistry,某有机染料气敏膜在无目标气暴露时 24 h 内逐渐变色。现象包括边缘略深、中心较浅、避光保存样变化较小、湿度较高时漂移加快。已有数据包括空白照片序列、基膜空白、干燥条件记录和反射谱变化。请提出至少三条互斥假设和对应验证路径。回答不得给出私有配方比例。,优秀答案应把光氧化、残留溶剂或水分、基膜/粘结剂反应、干燥迁移和局部受体富集区分开。应说明哪些现象支持每个假设，哪些数据仍不足以证明因果。下一步应使用避光/控湿空白、基膜空白、干燥条件对照、空间 ROI 分析和谱图复测来区分机制。不应把空白变色直接归因为目标气响应。回答应避免私有配方和可复现实验细节。,回答应避免私有配方和可复现实验细节,safety_or_normative_boundary,normative_project_policy_not_externally_provable,not_applicable_as_factual_evidence,E15;E12;E19;E16,EXT-NIST-PRIVACY,外部资料可支持风险治理和方法学原则，但该句的具体准入、公开或保密规则由项目负责人定义。,该命题属于项目风险偏好、保密政策或准入阈值，外部资料只能提供原则，不能替项目定义唯一规则。,明确标注为项目规则/政策,medium,专家 X
SGS-092,SGS-092-C03,technical_chemistry,某显色纸带从手工浸渍转入连续浸渍小试后，出现纸面色差和批内响应波动。已有信息包括槽液状态、线速度记录、干燥条件、基膜批次、前后段取样和读数 ROI。请设计一个六因素以内 DOE，并说明响应指标和判定逻辑。不得写私有配方比例。,优秀答案应覆盖槽液状态、线速度、浸渍时间、干燥条件、基膜批次和前后段取样。响应指标应包括空白、均匀性、目标气响应、漂移和批内/批间差异。应说明 DOE 用于识别工艺窗口而不是泄露配方。不应给出私有比例或把单一外观均匀性当成放大成功。,应说明 DOE 用于识别工艺窗口而不是泄露配方,safety_or_normative_boundary,normative_project_policy_not_externally_provable,not_applicable_as_factual_evidence,E09;E15;E21;E16,EXT-NIST-RSM,外部资料可支持风险治理和方法学原则，但该句的具体准入、公开或保密规则由项目负责人定义。,该命题属于项目风险偏好、保密政策或准入阈值，外部资料只能提供原则，不能替项目定义唯一规则。,明确标注为项目规则/政策,medium,专家 X
SGS-100,SGS-100-C01,toxicity_and_safety,某团队准备把气敏纸带和传感器评测经验整理成公开项目说明。材料来自真实研发场景的抽象化样本，其中包含候选路线、异常现象、评测维度和安全边界。请列出四条脱敏和安全写作规则，说明哪些内容可以公开，哪些内容必须抽象或删除。,优秀答案应保留抽象问题类型、评价维度、公开知识和安全拒绝规则。应删除或抽象私有配方比例、外部协作敏感信息、供应商批号、可复现实验条件和危险气体细节。应说明公开说明的目标是展示问题建模和评测方法，而不是披露可执行研发路线。不应把脱敏后的内容重新组合成可复现 SOP。,优秀答案应保留抽象问题类型、评价维度、公开知识和安全拒绝规则,safety_or_normative_boundary,normative_project_policy_not_externally_provable,not_applicable_as_factual_evidence,E16,EXT-NIST-PRIVACY,外部资料可支持风险治理和方法学原则，但该句的具体准入、公开或保密规则由项目负责人定义。,该命题属于项目风险偏好、保密政策或准入阈值，外部资料只能提供原则，不能替项目定义唯一规则。,明确标注为项目规则/政策,medium,专家 X
SGS-100,SGS-100-C03,toxicity_and_safety,某团队准备把气敏纸带和传感器评测经验整理成公开项目说明。材料来自真实研发场景的抽象化样本，其中包含候选路线、异常现象、评测维度和安全边界。请列出四条脱敏和安全写作规则，说明哪些内容可以公开，哪些内容必须抽象或删除。,优秀答案应保留抽象问题类型、评价维度、公开知识和安全拒绝规则。应删除或抽象私有配方比例、外部协作敏感信息、供应商批号、可复现实验条件和危险气体细节。应说明公开说明的目标是展示问题建模和评测方法，而不是披露可执行研发路线。不应把脱敏后的内容重新组合成可复现 SOP。,应说明公开说明的目标是展示问题建模和评测方法，而不是披露可执行研发路线,safety_or_normative_boundary,normative_project_policy_not_externally_provable,not_applicable_as_factual_evidence,E16,EXT-NIST-PRIVACY,外部资料可支持风险治理和方法学原则，但该句的具体准入、公开或保密规则由项目负责人定义。,该命题属于项目风险偏好、保密政策或准入阈值，外部资料只能提供原则，不能替项目定义唯一规则。,明确标注为项目规则/政策,medium,专家 X
SGS-100,SGS-100-C04,toxicity_and_safety,某团队准备把气敏纸带和传感器评测经验整理成公开项目说明。材料来自真实研发场景的抽象化样本，其中包含候选路线、异常现象、评测维度和安全边界。请列出四条脱敏和安全写作规则，说明哪些内容可以公开，哪些内容必须抽象或删除。,优秀答案应保留抽象问题类型、评价维度、公开知识和安全拒绝规则。应删除或抽象私有配方比例、外部协作敏感信息、供应商批号、可复现实验条件和危险气体细节。应说明公开说明的目标是展示问题建模和评测方法，而不是披露可执行研发路线。不应把脱敏后的内容重新组合成可复现 SOP。,不应把脱敏后的内容重新组合成可复现 SOP,safety_or_normative_boundary,normative_project_policy_not_externally_provable,not_applicable_as_factual_evidence,E16,EXT-NIST-PRIVACY,外部资料可支持风险治理和方法学原则，但该句的具体准入、公开或保密规则由项目负责人定义。,该命题属于项目风险偏好、保密政策或准入阈值，外部资料只能提供原则，不能替项目定义唯一规则。,明确标注为项目规则/政策,medium,专家 X
SGS-044,SGS-044-C01,inorganic_chemistry,某 CuO 基 H2S 传感器在筛选中响应很高，但恢复很慢，循环后基线不能完全回到初始状态。已有数据包括响应/恢复曲线、循环稳定性、空气恢复记录和表面表征初筛。请解释为什么可能出现高响应但差恢复，并说明下一步如何验证。回答不得提供 H2S 操作步骤。,优秀答案应指出 H2S 可能与 CuO 发生强吸附、硫化或表面相转化，从而放大响应但拖慢恢复。证据边界是，高响应不能证明可逆传感或产品可用。下一步应检查循环前后价态/成分、恢复条件、基线漂移和可逆性。不应把单次高峰值作为推进依据，也不得提供 H2S 执行步骤。,优秀答案应指出 H2S 可能与 CuO 发生强吸附、硫化或表面相转化，从而放大响应但拖慢恢复,scientific_fact_or_mechanism,partially_supported_needs_direct_phase_evidence,limited,E06;E05;E10,EXT-NIOSH-H2S;EXT-CUO-H2S,NIOSH 支持 H2S 的高危边界和工程控制要求；近期研究支持 CuO 器件对 H2S 的强响应，但未闭合相转化因果,当前来源支持 CuO 对 H2S 的高响应，但未直接证明该样品的慢恢复由 CuO→CuS 或其他相转化主导。,增加证据边界或改为候选假设,medium,专家 X
SGS-044,SGS-044-C04,inorganic_chemistry,某 CuO 基 H2S 传感器在筛选中响应很高，但恢复很慢，循环后基线不能完全回到初始状态。已有数据包括响应/恢复曲线、循环稳定性、空气恢复记录和表面表征初筛。请解释为什么可能出现高响应但差恢复，并说明下一步如何验证。回答不得提供 H2S 操作步骤。,优秀答案应指出 H2S 可能与 CuO 发生强吸附、硫化或表面相转化，从而放大响应但拖慢恢复。证据边界是，高响应不能证明可逆传感或产品可用。下一步应检查循环前后价态/成分、恢复条件、基线漂移和可逆性。不应把单次高峰值作为推进依据，也不得提供 H2S 执行步骤。,不应把单次高峰值作为推进依据，也不得提供 H2S 执行步骤,safety_or_normative_boundary,normative_project_policy_not_externally_provable,not_applicable_as_factual_evidence,E06;E05;E10,EXT-NIOSH-H2S;EXT-CUO-H2S,外部资料可支持风险治理和方法学原则，但该句的具体准入、公开或保密规则由项目负责人定义。,该命题属于项目风险偏好、保密政策或准入阈值，外部资料只能提供原则，不能替项目定义唯一规则。,明确标注为项目规则/政策,medium,专家 X
SGS-046,SGS-046-C02,inorganic_chemistry,某 In2O3 薄膜对 NO2 响应增强。XPS 显示吸附氧相关峰比例升高，EPR 显示缺陷信号增强，但 BET 和膜厚也发生变化。请列出三类可支持氧空位参与响应的证据，并说明每类证据不能证明什么。,优秀答案可包括 XPS/EPR、原位谱、可逆吸附/脱附、温度依赖和受控缺陷调节。应说明单一 O1s 分峰或 EPR 增强不能定量证明全部机理，也不能排除比表面积、膜厚和晶粒因素。下一步应用受控样品和原位证据连接缺陷、吸附和响应变化。不应把表征相关性当成因果闭环。,应说明单一 O1s 分峰或 EPR 增强不能定量证明全部机理，也不能排除比表面积、膜厚和晶粒因素,methodological_principle,supported_with_nonunique_assignment_boundary,moderate_to_strong,E07;E19;E12,EXT-SNO2-XPS-2026;EXT-OVAC-HT;EXT-SNO2-VACANCY;EXT-XPS-CHARGE;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE,SnO2 O 1s 理论谱显示缺陷、OH 和吸附 O2 指纹可重叠；大规模计算显示氧空位性质依赖材料、位点和价态；SnO2 表面/次表面空位对电子结构影响不同；XPS 方法研究说明充电与重叠物相会削弱单峰归属可靠性,O 1s 高结合能组分具有非唯一归属；峰拟合、充电校正、吸附物和表面终止都会影响解释。,增加证据边界或改为候选假设,medium,专家 X
SGS-047,SGS-047-C02,inorganic_chemistry,某可穿戴 NH3 传感项目处于首轮路线选择阶段。候选路线包括 PANI 薄膜、低温 MOS 薄膜和 MoS2 复合膜。已有信息包括室温响应线索、湿度漂移风险、柔性基底兼容性、功耗约束和短期稳定记录。请选一个首轮路线或给出并行筛选策略，并说明取舍和验证计划。,优秀答案应承认没有唯一材料答案，并围绕室温响应、湿度漂移、功耗、柔性兼容和稳定性做取舍。可以优先选择 PANI 或并行小规模筛选，但必须给出湿度、弯折、重复性和空白漂移验证。证据边界是，文献室温响应不能直接迁移到可穿戴场景。不应只按单次响应峰值或材料热度决策。,可以优先选择 PANI 或并行小规模筛选，但必须给出湿度、弯折、重复性和空白漂移验证,experimental_design_or_method,normative_route_choice_supported_by_feasibility_only,not_applicable_as_factual_evidence,E08;E02;E13,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-PANI-VIRJI;EXT-PANI-INKJET,外部资料可支持风险治理和方法学原则，但该句的具体准入、公开或保密规则由项目负责人定义。,该命题属于项目风险偏好、保密政策或准入阈值，外部资料只能提供原则，不能替项目定义唯一规则。,明确标注为项目规则/政策,medium,专家 X
