Deprecated reconstructed artifact. Not used as 0.5.0 final evidence.
id,model_id,set,dimension,score,max_score,comment
SGS-018,MiMo v2.5 Pro,Domain Core,final_answer_alignment,1.1,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-018,MiMo v2.5 Pro,Domain Core,professional_accuracy,1.08,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-018,MiMo v2.5 Pro,Domain Core,reasoning_path,1.03,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-018,MiMo v2.5 Pro,Domain Core,evidence_boundary,1.03,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-018,MiMo v2.5 Pro,Domain Core,experimental_design,1.06,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-018,MiMo v2.5 Pro,Domain Core,decision_logic,1.12,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-018,MiMo v2.5 Pro,Domain Core,safety_and_privacy,1.02,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-018,MiMo v2.5 Pro,Domain Core,conciseness_and_traceability,1.14,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-019,MiMo v2.5 Pro,Domain Core,final_answer_alignment,1.1,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-019,MiMo v2.5 Pro,Domain Core,professional_accuracy,1.08,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-019,MiMo v2.5 Pro,Domain Core,reasoning_path,1.03,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-019,MiMo v2.5 Pro,Domain Core,evidence_boundary,1.03,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-019,MiMo v2.5 Pro,Domain Core,experimental_design,1.06,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-019,MiMo v2.5 Pro,Domain Core,decision_logic,1.12,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-019,MiMo v2.5 Pro,Domain Core,safety_and_privacy,1.02,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-019,MiMo v2.5 Pro,Domain Core,conciseness_and_traceability,1.14,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-030,MiMo v2.5 Pro,Domain Core,final_answer_alignment,1.1,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-030,MiMo v2.5 Pro,Domain Core,professional_accuracy,1.08,1.25,基本达标，仍可增加更具体的证据或对照。
SGS-030,MiMo v2.5 Pro,Domain Core,reasoning_path,1.03,1.25,基本达标，仍可增加更具体的证据或对照。
