item_id,domain,question,option_letter,option_text,is_gold,gold_letter,item_validity_verdict,gold_reference_status,condition_sufficiency,source_support,item_ambiguity_severity,audit_priority,option_audit_verdict,factual_status,contextual_status,distractor_quality,option_overlap_status,safety_status,external_evidence_status,evidence_cluster_ids,source_ids,audit_finding,v0_6_action,future_release_action,confidence,review_identity
SGS-001,organic_chemistry,某氯气显色纸带使用芳香胺作受体。配方在水加入后变浑浊，但干燥后仍能变色。下一步最稳妥的判断是？,D,调整酸度和溶剂比例评估析出边界,False,A,ambiguous_multiple_defensible,gold_preferred_but_not_unique,partially_sufficient,project_analog_only,medium,P1,also_defensible_overlap,factually_plausible_or_true,also_defensible_or_complementary,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E05;E10;E12;E15;E20,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO;EXT-NIST-RSM;EXT-COFFEE-RING,该选项在题干条件下同样可辩护，作为“错误选项”会误伤合理回答；与 Gold 存在机制、验证或层级重叠。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
SGS-002,organic_chemistry,PANI 薄膜对 NH3 响应很强，但 80%RH 下基线持续上移。最适合先排查的是？,C,做湿度阶跃曲线并提取峰值滞后特征,False,B,ambiguous_multiple_defensible,gold_conceptually_correct,partially_sufficient,general_review_support,medium,P1,also_defensible_direct_test,factually_plausible_or_true,also_defensible_or_complementary,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E02;E05;E08;E19,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-PANI-VIRJI;EXT-PANI-INKJET;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE,该选项在题干条件下同样可辩护，作为“错误选项”会误伤合理回答；与 Gold 存在机制、验证或层级重叠。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
SGS-006,organic_chemistry,VOC 传感膜改用更亲有机溶剂的粘结剂后，甲苯响应增大但恢复变慢。最佳解释是？,C,膜内溶胀提高扩散阻力并延长恢复,False,B,ambiguous_multiple_defensible,gold_not_unique,insufficient,general_review_support,high,P1,also_defensible_mechanism,factually_plausible_or_true,also_defensible_or_complementary,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E04;E05;E09;E20,EXT-NIST-GAS;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIST-RSM;EXT-PANI-VIRJI,该选项在题干条件下同样可辩护，作为“错误选项”会误伤合理回答；与 Gold 存在机制、验证或层级重叠。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
SGS-006,organic_chemistry,VOC 传感膜改用更亲有机溶剂的粘结剂后，甲苯响应增大但恢复变慢。最佳解释是？,D,腔体滞留造成表观恢复时间拉长,False,B,ambiguous_multiple_defensible,gold_not_unique,insufficient,general_review_support,high,P1,also_defensible_system_cause,factually_plausible_or_true,also_defensible_or_complementary,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E04;E05;E09;E20,EXT-NIST-GAS;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIST-RSM;EXT-PANI-VIRJI,该选项在题干条件下同样可辩护，作为“错误选项”会误伤合理回答；与 Gold 存在机制、验证或层级重叠。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
SGS-009,organic_chemistry,比较甲氧基苯胺和硝基苯胺作氧化显色受体，最稳妥的预期是？,B,硝基降低电子云密度但可能改变色相,False,A,ambiguous_multiple_defensible,gold_not_unique,insufficient,weak_generic_support,high,P1,also_defensible,factually_plausible_or_true,also_defensible_or_complementary,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E13;E15;E20,EXT-NIST-RSM;EXT-COFFEE-RING;EXT-PANI-VIRJI,该选项在题干条件下同样可辩护，作为“错误选项”会误伤合理回答；与 Gold 存在机制、验证或层级重叠。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
SGS-009,organic_chemistry,比较甲氧基苯胺和硝基苯胺作氧化显色受体，最稳妥的预期是？,C,溶解稳定性差异会影响表观显色强度,False,A,ambiguous_multiple_defensible,gold_not_unique,insufficient,weak_generic_support,high,P1,also_defensible,factually_plausible_or_true,also_defensible_or_complementary,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E13;E15;E20,EXT-NIST-RSM;EXT-COFFEE-RING;EXT-PANI-VIRJI,该选项在题干条件下同样可辩护，作为“错误选项”会误伤合理回答；与 Gold 存在机制、验证或层级重叠。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
SGS-009,organic_chemistry,比较甲氧基苯胺和硝基苯胺作氧化显色受体，最稳妥的预期是？,D,两者自氧化风险主要受保存条件影响,False,A,ambiguous_multiple_defensible,gold_not_unique,insufficient,weak_generic_support,high,P1,also_defensible,factually_plausible_or_true,also_defensible_or_complementary,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E13;E15;E20,EXT-NIST-RSM;EXT-COFFEE-RING;EXT-PANI-VIRJI,该选项在题干条件下同样可辩护，作为“错误选项”会误伤合理回答；与 Gold 存在机制、验证或层级重叠。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
SGS-013,organic_chemistry,加入增塑剂后 NO2 纸带响应提高，但对乙醇蒸气也明显变色。最佳结论是？,B,做 NO2 与乙醇共存矩阵分离贡献,False,A,valid_with_major_caveat,gold_is_hypothesis_not_conclusion,partially_sufficient,general_review_support,medium,P1,plausible_discriminating_test,factually_plausible_or_true,inferior_or_unsupported,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E01;E11;E12;E15,EXT-NIST-RSM;EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-COFFEE-RING,该选项是能区分候选机制的直接测试；虽然不一定是机理结论，却是有效下一步，选项层级与 Gold 不平行。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
SGS-013,organic_chemistry,加入增塑剂后 NO2 纸带响应提高，但对乙醇蒸气也明显变色。最佳结论是？,C,用无增塑剂对照确认氧化路径变化,False,A,valid_with_major_caveat,gold_is_hypothesis_not_conclusion,partially_sufficient,general_review_support,medium,P1,plausible_discriminating_test,factually_plausible_or_true,inferior_or_unsupported,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E01;E11;E12;E15,EXT-NIST-RSM;EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-COFFEE-RING,该选项是能区分候选机制的直接测试；虽然不一定是机理结论，却是有效下一步，选项层级与 Gold 不平行。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
SGS-014,organic_chemistry,向有机显色体系加入氧化还原介体后响应加快。若空白也缓慢变色，优先判定为？,C,基膜吸附介体导致暗态背景缓慢上升,False,B,ambiguous_multiple_defensible,gold_not_unique,insufficient,weak_generic_support,high,P1,also_defensible_specific_mechanism,factually_plausible_or_true,also_defensible_or_complementary,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E05;E11;E12;E13;E15,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-NIST-RSM;EXT-COFFEE-RING,该选项在题干条件下同样可辩护，作为“错误选项”会误伤合理回答；与 Gold 存在机制、验证或层级重叠。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
