conflict_id,topic,old_state,new_state,selected_authority,preserved_old_location,score_impact,conflict_field,primary_key,selected_version
POLICY-001,Hard Fail scoring,historical labels were count-only,3 confirmed failures zero official item score; 12 downgraded,project-owner prompt + free-response package,v0.5.0 Git tag and results/standard_20260703,yes,official_item_score,task_id+model_id,owner prompt + free_response/full_review_by_item.csv
IDENTITY-001,public reviewer labels,identity-bearing reviewer descriptions,role label 专家 X in v0.6 public artifacts,project-owner prompt,review/internal_provenance/source_packages,no,review_identity/reviewer,artifact_path+row_key,owner prompt
ROBUSTNESS-001,Robustness review depth,40 item-validity rows,40 pair rows + 12 group rows extending identical base judgments,remaining-work package,01_item_validity/robustness_40_item_validity_review.csv,interpretation only,extended pair/group review fields,item_id / base_or_parent_id,remaining-work package
HARD50-001,Hard50 role,hard diagnostic leaderboard language,saturated regression diagnostic,remaining-work package,v0.5.0 Git tag,no score rewrite,public interpretation role,item_id / set,remaining-work package
RAW-001,raw rebuild implementation,package wrapper had an empty comparison mapping and expected CSVs absent from ZIP,rebuild from raw JSON + manifests and compare every deterministic output,actual archive + repository parsers,remaining-work source ZIP,release gate,raw_to_derived comparison implementation,artifact+id+model_id(+dimension),raw archive + repository parser behavior
DOC-001,release documentation,"v0.5.0 policy, scores and reviewer wording","v0.6.0 scoring, role labels and known-issue disclosure",project-owner prompt + remaining-work drafts,v0.5.0 Git tag,reported interpretation,release version/scoring/identity wording,document_path+section,owner prompt + verified repository facts
MANIFEST-001,package manifests and checksum lists,four package-specific manifests and SHA256SUMS cover different roots,all originals preserved; release manifest regenerated over the integrated tree,all source packages + generated release manifest,review/internal_provenance/source_packages,no,manifest/checksum scope,archive+member_path,integrated v0.6.0 manifest
STATS-001,statistical computation status,remaining-work inventory marked diagnostics as requiring a raw run,clean raw rebuild completed all listed diagnostics,verified raw archive + full-statistics rebuild,remaining-work source ZIP,diagnostic only,diagnostic status/output path,analysis,clean full-statistics rebuild
BLIND-001,blind-review materials,foundation and remaining-work packages contain overlapping blind-review guidance,higher-priority execution packet published without a claim that blind review occurred,remaining-work package + project-owner prompt,all four exact source ZIPs,no,blind-review execution status,document_path,remaining-work execution packet
DASHBOARD-001,overlapping source dashboards,each package contains a scope-specific source workbook,all four scope dashboards retained as role-sanitized public copies,artifact purpose; no mechanical overwrite,review/internal_provenance/source_packages,no,dashboard scope and public role wording,workbook_path+sheet,role-sanitized scope workbook
