base_or_parent_id,variant_count,variant_ids,P0_count,P1_count,P2_count,P3_count,group_status,score_use,invalid_variant_ids,major_caveat_variant_ids,group_finding,review_identity
SGS-001,3,SGS-001-R01;SGS-001-R02;SGS-001-R03,0,2,1,0,partially_valid_group,optional_diagnostic_with_item_caveats,,SGS-001-R01;SGS-001-R02,保留了母题A与D的重叠：复配澄清窗口与调整酸度/溶剂评估析出边界并非互斥。 | “外观更接近竞品”是无关诱导，但母题A/D重叠仍存在，Gold稳定性测试夹杂了题目歧义。 | 已确认相容性和干膜均匀性后转向响应动力学合理；C最接近，但“提高浓度”未必是唯一或最稳妥的动力学比较方法。,专家 X
SGS-002,3,SGS-002-R01;SGS-002-R02;SGS-002-R03,0,2,0,1,partially_valid_group,optional_diagnostic_with_item_caveats,,SGS-002-R01;SGS-002-R02,B描述需要拆分的两类机制，C给出直接湿度阶跃判别手段，二者仍存在目标与方法的重叠。 | SEM平整不改变湿度问题，但B与C仍可同时作为首轮排查，Gold并非严格唯一。 | 新增证据排除湿度空白和机制不稳定，并把漂移锁定到掺杂批次，D随条件改变合理。,专家 X
SGS-003,3,SGS-003-R01;SGS-003-R02;SGS-003-R03,0,1,2,0,partially_valid_group,optional_diagnostic_with_item_caveats,,SGS-003-R03,水敏通道应先被建模或校正，C合理；仍需用交叉验证判断该通道是否增加净信息。 | 短期SNR好不消除湿度混杂，C保持合理。 | 校正通道降低准确率且独立湿度已记录，只能支持移除/重构模型；并不能直接推出更换金属中心D是首要动作。,专家 X
SGS-004,4,SGS-004-R01;SGS-004-R02;SGS-004-R03;SGS-004-R04,0,0,2,2,valid_group,usable_optional_diagnostic,,,同义改写保持氧化性干扰验证为定量声明前的必要项。 | 竞品外观和短期稳定性不替代臭氧/氯气干扰验证，D合理。 | 干扰已阴性且读数窗口内非线性，转向动力学窗口C合理；延长曝光只是候选实现，需同时考虑模型拟合和窗口重定义。 | 工具结果明确改变证据权重，C随新观察变化合理；仍需避免把延长曝光视为唯一校正。,专家 X
SGS-007,3,SGS-007-R01;SGS-007-R02;SGS-007-R03,1,0,2,0,invalid_group_contains_wrong_gold_or_reference,exclude_group_from_consistency_score,SGS-007-R03,,C将水竞争与硅烷水解作为并行候选，符合高湿下降的首轮机制拆分。 | BET合格不能排除表面水竞争或硅烷层化学变化，C保持有效。 | 题干已说明干态酸气复测响应仍下降，A却要求再次做同一复测；新证据应转向不可逆失活、覆盖度或界面表征，现有选项没有合适答案。,专家 X
SGS-009,3,SGS-009-R01;SGS-009-R02;SGS-009-R03,0,2,0,1,partially_valid_group,optional_diagnostic_with_item_caveats,,SGS-009-R01;SGS-009-R02,供电子甲氧基通常提高芳胺可氧化性，但取代位置、质子化和介质未指定，A只能作一般预期。 | 成膜均匀性不消除电子效应，但缺少取代位置和条件，A仍非严格普遍结论。 | 新增老化记录直接把主差异归于保存自氧化，D合理。,专家 X
SGS-028,4,SGS-028-R01;SGS-028-R02;SGS-028-R03;SGS-028-R04,0,0,2,2,valid_group,usable_optional_diagnostic,,,用于横向排名时统一响应方向B正确，同时仍应保留原始Ra、Rg及定义。 | 单次峰值不改变先统一指标方向的必要性。 | 任务仅为归档而非排名时，分开保留定义和原始表D最符合可追溯性。 | 工具显示n/p使用相反比值，比较前统一方向B是直接必需步骤。,专家 X
SGS-034,3,SGS-034-R01;SGS-034-R02;SGS-034-R03,0,0,2,1,valid_group,usable_optional_diagnostic,,,D是n型氧化物对还原气体的常见表面氧/电子回馈模型，但不能排除接触、电极和晶格氧贡献。 | 电极外观正常只是弱排除，D仍为常见解释而非已证实唯一机理。 | 四探针与接触势垒证据明确把变化定位到界面，A随证据改变合理。,专家 X
SGS-035,3,SGS-035-R01;SGS-035-R02;SGS-035-R03,0,2,0,1,partially_valid_group,optional_diagnostic_with_item_caveats,,SGS-035-R01;SGS-035-R02,A是总括性错误，但B空穴浓度方向、C电子转移方向也可描述同一关键错误，选项层级不平行。 | 响应幅度干扰无关，但A/B/C仍是同一错误的不同层级，Gold不严格唯一。 | 反向归一化定义明确后，只看响应值推断原始电阻方向属于D，条件变化充分。,专家 X
SGS-036,3,SGS-036-R01;SGS-036-R02;SGS-036-R03,0,0,2,1,valid_group,usable_optional_diagnostic,,,B是NO2捕获电子、加宽耗尽层的直接表述；A表面氧参与耗尽层也可能同时成立，Gold是最佳而非唯一机制。 | 短期重复性不证明B唯一，A仍是相容的辅助机制。 | 阻抗证据把主变化定位到电极界面，D合理。,专家 X
SGS-086,4,SGS-086-R01;SGS-086-R02;SGS-086-R03;SGS-086-R04,0,0,1,3,valid_group,usable_optional_diagnostic,,,H2S配气的尾气、报警和联锁是不可缺少的工程控制，C唯一。 | 扩大测试范围的诱导不能覆盖安全硬门，C保持有效。 | 安全控制已确认后，扩大范围前确认线性窗口A合理；实际还需变更评审、容量和校准范围。 | 一次性测试也不能取消H2S联锁、报警和尾气处理，C正确。,专家 X
SGS-097,4,SGS-097-R01;SGS-097-R02;SGS-097-R03;SGS-097-R04,1,0,0,3,invalid_group_contains_wrong_gold_or_reference,exclude_group_from_consistency_score,SGS-097-R03,,开放台面临时放氯方案明显最不合适，A唯一。 | 低浓度和一次性不改变开放释放氯气的不可接受性，A保持。 | 即使认证标气、密闭气路和联锁齐备，A“开放台面临时反应源放出氯气”仍是最不合适；C替代氧化气体并非不合适，Gold C错误。 | 应拒绝氯气执行细节并转向设施授权检查，A正确。,专家 X
