item_id,set_name,subset,question_type,domain,validity_verdict,gold_reference_status,condition_sufficiency,source_support,ambiguity_severity,audit_priority,key_finding,v0_6_item_action,future_release_recommendation,confidence,review_status,parent_task_id,variant_type,expected_consistency,recommended_action,review_identity
SGS-001-R01,robustness,robustness,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_preferred_but_not_unique,partially_sufficient,parent_inherited_project_analog,medium,P1,保留了母题A与D的重叠：复配澄清窗口与调整酸度/溶剂评估析出边界并非互斥。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,SGS-001,paraphrase,same_answer,keep_unmodified_record_issue,专家 X
SGS-001-R02,robustness,robustness,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_preferred_but_not_unique,partially_sufficient,parent_inherited_project_analog,medium,P1,“外观更接近竞品”是无关诱导，但母题A/D重叠仍存在，Gold稳定性测试夹杂了题目歧义。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,SGS-001,distractor,same_answer,keep_unmodified_record_issue,专家 X
SGS-001-R03,robustness,robustness,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_supported,sufficient,synthetic_condition_shift,low,P2,已确认相容性和干膜均匀性后转向响应动力学合理；C最接近，但“提高浓度”未必是唯一或最稳妥的动力学比较方法。,keep_unmodified,retain_with_documented_caveat,high,completed,SGS-001,contradiction,changed_answer,keep_unmodified_record_issue,专家 X
SGS-002-R01,robustness,robustness,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_preferred_but_not_unique,partially_sufficient,parent_inherited_general_rule,medium,P1,B描述需要拆分的两类机制，C给出直接湿度阶跃判别手段，二者仍存在目标与方法的重叠。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,SGS-002,paraphrase,same_answer,keep_unmodified_record_issue,专家 X
SGS-002-R02,robustness,robustness,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_preferred_but_not_unique,partially_sufficient,parent_inherited_general_rule,medium,P1,SEM平整不改变湿度问题，但B与C仍可同时作为首轮排查，Gold并非严格唯一。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,SGS-002,distractor,same_answer,keep_unmodified_record_issue,专家 X
SGS-002-R03,robustness,robustness,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,synthetic_condition_shift,low,P3,新增证据排除湿度空白和机制不稳定，并把漂移锁定到掺杂批次，D随条件改变合理。,keep_unmodified,retain,high,completed,SGS-002,contradiction,changed_answer,keep_unmodified_record_issue,专家 X
SGS-003-R01,robustness,robustness,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_supported,sufficient,parent_inherited_array_logic,low,P2,水敏通道应先被建模或校正，C合理；仍需用交叉验证判断该通道是否增加净信息。,keep_unmodified,retain_with_documented_caveat,high,completed,SGS-003,paraphrase,same_answer,keep_unmodified_record_issue,专家 X
SGS-003-R02,robustness,robustness,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_supported,sufficient,parent_inherited_array_logic,low,P2,短期SNR好不消除湿度混杂，C保持合理。,keep_unmodified,retain_with_documented_caveat,high,completed,SGS-003,distractor,same_answer,keep_unmodified_record_issue,专家 X
SGS-003-R03,robustness,robustness,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_not_entailed,insufficient,synthetic_condition_shift,high,P1,校正通道降低准确率且独立湿度已记录，只能支持移除/重构模型；并不能直接推出更换金属中心D是首要动作。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,SGS-003,contradiction,changed_answer,keep_unmodified_record_issue,专家 X
SGS-004-R01,robustness,robustness,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,synthetic_robustness_condition,low,P3,同义改写保持氧化性干扰验证为定量声明前的必要项。,keep_unmodified,retain,high,completed,SGS-004,paraphrase,same_answer,keep_unmodified_record_issue,专家 X
SGS-004-R02,robustness,robustness,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,synthetic_robustness_condition,low,P3,竞品外观和短期稳定性不替代臭氧/氯气干扰验证，D合理。,keep_unmodified,retain,high,completed,SGS-004,distractor,same_answer,keep_unmodified_record_issue,专家 X
SGS-004-R03,robustness,robustness,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_supported,sufficient,synthetic_robustness_condition,low,P2,干扰已阴性且读数窗口内非线性，转向动力学窗口C合理；延长曝光只是候选实现，需同时考虑模型拟合和窗口重定义。,keep_unmodified,retain_with_documented_caveat,high,completed,SGS-004,contradiction,changed_answer,keep_unmodified_record_issue,专家 X
SGS-004-R04,robustness,robustness,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_supported,sufficient,synthetic_robustness_condition,low,P2,工具结果明确改变证据权重，C随新观察变化合理；仍需避免把延长曝光视为唯一校正。,keep_unmodified,retain_with_documented_caveat,high,completed,SGS-004,tool_observation_shift,tool_result_followed,keep_unmodified_record_issue,专家 X
SGS-007-R01,robustness,robustness,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_supported,sufficient,parent_inherited_general_rule,low,P2,C将水竞争与硅烷水解作为并行候选，符合高湿下降的首轮机制拆分。,keep_unmodified,retain_with_documented_caveat,high,completed,SGS-007,paraphrase,same_answer,keep_unmodified_record_issue,专家 X
SGS-007-R02,robustness,robustness,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_supported,sufficient,parent_inherited_general_rule,low,P2,BET合格不能排除表面水竞争或硅烷层化学变化，C保持有效。,keep_unmodified,retain_with_documented_caveat,high,completed,SGS-007,distractor,same_answer,keep_unmodified_record_issue,专家 X
SGS-007-R03,robustness,robustness,multiple_choice,organic_chemistry,invalid_gold_or_reference,gold_repeats_already_observed_test,insufficient,synthetic_condition_shift,high,P0,题干已说明干态酸气复测响应仍下降，A却要求再次做同一复测；新证据应转向不可逆失活、覆盖度或界面表征，现有选项没有合适答案。,keep_unmodified,future_release_correct_gold_or_replace_item,high,completed,SGS-007,contradiction,changed_answer,keep_unmodified_record_issue,专家 X
SGS-009-R01,robustness,robustness,multiple_choice,organic_chemistry,valid_with_major_caveat,gold_preferred_but_underqualified,partially_sufficient,parent_inherited_textbook_rule,medium,P1,供电子甲氧基通常提高芳胺可氧化性，但取代位置、质子化和介质未指定，A只能作一般预期。,keep_unmodified,future_release_clarify_conditions_or_source,high,completed,SGS-009,paraphrase,same_answer,keep_unmodified_record_issue,专家 X
SGS-009-R02,robustness,robustness,multiple_choice,organic_chemistry,valid_with_major_caveat,gold_preferred_but_underqualified,partially_sufficient,parent_inherited_textbook_rule,medium,P1,成膜均匀性不消除电子效应，但缺少取代位置和条件，A仍非严格普遍结论。,keep_unmodified,future_release_clarify_conditions_or_source,high,completed,SGS-009,distractor,same_answer,keep_unmodified_record_issue,专家 X
SGS-009-R03,robustness,robustness,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,synthetic_condition_shift,low,P3,新增老化记录直接把主差异归于保存自氧化，D合理。,keep_unmodified,retain,high,completed,SGS-009,contradiction,changed_answer,keep_unmodified_record_issue,专家 X
