item_id,set_name,subset,question_type,domain,validity_verdict,gold_reference_status,condition_sufficiency,source_support,ambiguity_severity,audit_priority,key_finding,v0_6_item_action,future_release_recommendation,confidence,review_status,difficulty_assessment,diagnostic_value,recommended_action,review_identity,observed_set_saturation,current_role,keep_rewrite_retire,future_hard_leaderboard_action,calibration_completed
SGS-HARD-001,hard50,hard50,multiple_choice,inorganic_chemistry,valid_with_minor_caveat,gold_supported,sufficient,synthetic_scenario_only,low,P2,A正确限制XPS相关性并补湿度矩阵；“吸附氧比例”本身依赖O 1s拟合归属，应更谨慎表述。,keep_unmodified,retain_with_documented_caveat,high,completed,overstated,limited_by_obvious_single_best_answer,keep_unmodified_record_issue,专家 X,very_high_47_to_48_of_50,regression_diagnostic_only,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,true
SGS-HARD-002,hard50,hard50,multiple_choice,materials_science,valid,gold_unique,sufficient,synthetic_scenario_only,low,P3,晶相/峰值收益与CO干扰和恢复损失冲突，B是直接多目标拆分。,keep_unmodified,retain,high,completed,overstated,limited_by_obvious_single_best_answer,keep_unmodified_record_issue,专家 X,very_high_47_to_48_of_50,regression_diagnostic_only,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,true
SGS-HARD-003,hard50,hard50,multiple_choice,analytical_chemistry,valid,gold_unique,sufficient,synthetic_scenario_only,low,P3,高温空白上移会破坏低浓度判别，C正确优先重做空白老化和判别界限。,keep_unmodified,retain,high,completed,overstated,limited_by_obvious_single_best_answer,keep_unmodified_record_issue,专家 X,very_high_47_to_48_of_50,regression_diagnostic_only,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,true
SGS-HARD-004,hard50,hard50,multiple_choice,physical_chemistry,valid,gold_unique,sufficient,synthetic_scenario_only,low,P3,高拟合优度不能覆盖脱附长尾与循环衰减，D正确。,keep_unmodified,retain,high,completed,overstated,limited_by_obvious_single_best_answer,keep_unmodified_record_issue,专家 X,very_high_47_to_48_of_50,regression_diagnostic_only,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,true
SGS-HARD-005,hard50,hard50,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,synthetic_scenario_only,low,P3,目标显色与湿度空白自显色必须分离，A明确。,keep_unmodified,retain,high,completed,overstated,limited_by_obvious_single_best_answer,keep_unmodified_record_issue,专家 X,very_high_47_to_48_of_50,regression_diagnostic_only,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,true
SGS-HARD-006,hard50,hard50,multiple_choice,materials_science,valid,gold_unique,sufficient,synthetic_scenario_only,low,P3,导电/速度收益与低浓度SNR下降需分开评估，B正确。,keep_unmodified,retain,high,completed,overstated,limited_by_obvious_single_best_answer,keep_unmodified_record_issue,专家 X,very_high_47_to_48_of_50,regression_diagnostic_only,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,true
SGS-HARD-007,hard50,hard50,multiple_choice,analytical_chemistry,valid,gold_unique,sufficient,synthetic_scenario_only,low,P3,对照和湿度同样出现弱峰时，应先排除混杂，C正确。,keep_unmodified,retain,high,completed,overstated,limited_by_obvious_single_best_answer,keep_unmodified_record_issue,专家 X,very_high_47_to_48_of_50,regression_diagnostic_only,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,true
SGS-HARD-008,hard50,hard50,multiple_choice,technical_chemistry,valid,gold_unique,sufficient,synthetic_scenario_only,low,P3,放大后空间不均需要厚度-响应-恢复映射，D直接解决核心问题。,keep_unmodified,retain,high,completed,overstated,limited_by_obvious_single_best_answer,keep_unmodified_record_issue,专家 X,very_high_47_to_48_of_50,regression_diagnostic_only,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,true
SGS-HARD-009,hard50,hard50,multiple_choice,general_chemistry,valid,gold_unique,sufficient,synthetic_scenario_only,low,P3,目标与干扰斜率相近时选择性是主要风险，A正确。,keep_unmodified,retain,high,completed,overstated,limited_by_obvious_single_best_answer,keep_unmodified_record_issue,专家 X,very_high_47_to_48_of_50,regression_diagnostic_only,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,true
SGS-HARD-010,hard50,hard50,multiple_choice,physical_chemistry,valid,gold_unique,sufficient,synthetic_scenario_only,low,P3,Hall载流子变化只能解释部分干态现象，B正确纳入湿态迟滞边界。,keep_unmodified,retain,high,completed,overstated,limited_by_obvious_single_best_answer,keep_unmodified_record_issue,专家 X,very_high_47_to_48_of_50,regression_diagnostic_only,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,true
