item_id,set_name,subset,question_type,domain,validity_verdict,gold_reference_status,condition_sufficiency,source_support,ambiguity_severity,audit_priority,key_finding,v0_6_item_action,future_release_recommendation,confidence,review_status,parent_task_id,variant_type,expected_consistency,difficulty_assessment,diagnostic_value,recommended_action,review_identity
SGS-001,main,domain_core_mcq,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_preferred_but_not_unique,partially_sufficient,project_analog_only,medium,P1,A概括了相容性与干膜验证，但D同样直接针对析出边界，二者存在包含/重叠关系。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-002,main,domain_core_mcq,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_conceptually_correct,partially_sufficient,general_review_support,medium,P1,B是机制拆分目标，C是实现该拆分的直接湿度阶跃实验；作为“先排查”两者都可辩护。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-FR-005,main,scientific_stress_free_response,free_response,organic_chemistry,valid_with_major_caveat,reference_overprioritizes_solution_state,partially_sufficient,project_analog_only,medium,P1,先查浸渍液均一性合理，但纸基毛细作用和干燥迁移不是必须后置的解释；题干未给实际溶剂体系，参考顺序过度确定。,keep_unmodified,future_release_clarify_conditions_or_source,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-006,main,domain_core_mcq,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_not_unique,insufficient,general_review_support,high,P1,B的分配增强/脱附受限与C的溶胀扩散受限可同时发生；D的腔体滞留也未被排除，题干不足以单选。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-007,main,scientific_stress_mcq,multiple_choice,organic_chemistry,valid_with_major_caveat,gold_preferred_but_wording_problem,partially_sufficient,scientific_stress_internal_only,medium,P1,极性介质可能增强离子分离并加快阳离子聚合，但“更稳定离子对”与更高传播活性表述不够严谨，且溶剂亲核性、反离子和链转移共同决定结果。,keep_unmodified,future_release_clarify_conditions_or_source,medium_high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-008,main,domain_core_mcq,multiple_choice,organic_chemistry,valid_but_under_supported,gold_reasonable,sufficient,generic_safety_source,low,P1,肼类路线优先审查暴露与废液边界合理，但具体衍生物危害差异应依SDS而非类别名一概而论。,keep_unmodified,future_release_clarify_conditions_or_source,medium,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-009,main,domain_core_mcq,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_not_unique,insufficient,weak_generic_support,high,P1,A、B、C、D均可能成立；甲氧基/硝基影响受异构体、质子化、溶剂和产物路径制约，无法从题干唯一选A。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-FR-010,main,scientific_stress_free_response,free_response,inorganic_chemistry,valid_with_major_caveat,reference_matrix_not_fully_feasible,partially_sufficient,synthetic_control_design,medium,P1,要求独立控制贵金属负载、粒径、载体形貌和热处理科学上正确，但“相似负载不同粒径/相似粒径不同负载”在真实合成中难完全正交，应接受分阶段或统计控制设计。,keep_unmodified,future_release_clarify_conditions_or_source,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-013,main,domain_core_mcq,multiple_choice,organic_chemistry,valid_with_major_caveat,gold_is_hypothesis_not_conclusion,partially_sufficient,general_review_support,medium,P1,乙醇交叉响应支持增塑剂引入分配/溶胀混杂的候选解释，但尚不能作为确定结论；B、C才是区分路径。,keep_unmodified,future_release_clarify_conditions_or_source,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-014,main,domain_core_mcq,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_not_unique,insufficient,weak_generic_support,high,P1,介体降低储存稳定性是上位解释，基膜吸附和光诱导循环是具体可行机制；无暗/光、基膜和无介体对照不能优先B。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,,,,,,keep_unmodified_record_issue,专家 X
