source_id,source_type,quality,title,year,url,supports,limitations
PROJ-BENCHMARK,project_primary,project_source,Frozen benchmark.csv at commit dfa28407,2026,https://github.com/ZanderKong/semiconductor-gas-sensing-benchmark/blob/dfa28407e5130dbc4328ac006a5368f18bdbff7d/data/benchmark.csv,"Exact item wording, options, Gold answers and Reference Answers.",Defines project content but is not independent external scientific evidence.
EXT-NIST-OUTLIERS,official_method,authoritative,NIST/SEMATECH e-Handbook: Detection of Outliers,,https://www.itl.nist.gov/div898/handbook/eda/section3/eda35h.htm,Investigate and label potential outliers; delete only when an observation is established as erroneous; otherwise consider robust analysis.,General statistical guidance; sensor-specific root causes still require domain investigation.
EXT-ROBUST-STATS,peer_reviewed_method/preprint,strong_methodological,Anomaly Detection by Robust Statistics,2018,https://arxiv.org/abs/1707.09752,Robust methods reduce undue influence of anomalous observations and distinguish detection from automatic deletion.,"General methodology, not a sensor-device SOP."
EXT-NIST-RSM,official_method,authoritative,NIST/SEMATECH e-Handbook: Response Surface Designs,,https://www.itl.nist.gov/div898/handbook/pri/section3/pri336.htm,"Factor levels, interactions, curvature, fractional designs and process-window modeling.",Does not prescribe the exact factors or acceptance thresholds for a paper-tape process.
EXT-NIST-GAS,official_metrology,authoritative,NIST Traceable Reference Material Program for Gas Standards,2025,https://www.nist.gov/programs-projects/nist-traceable-reference-material-program-gas-standards,"Calibration gas concentration assignment, certificates, traceability and quality assurance.","Does not validate a particular MFC, chamber, line-loss or humidity correction."
EXT-ISO-GAS-PURITY,standards_method_paper,strong_methodological,Revision of ISO 19229 to support the certification of calibration gases for purity,2019,https://arxiv.org/abs/1906.01216,"Purity analysis, uncertainty and certification of calibration gases.","Certification framework, not a complete dynamic-dilution validation protocol."
EXT-NIOSH-H2S,official_safety,authoritative,NIOSH Pocket Guide: Hydrogen sulfide,,https://www.cdc.gov/niosh/npg/npgd0337.html,"Acute toxicity, exposure limits, IDLH, flammability and the unreliability of odor warning.","Supports no-go and engineering-control boundaries, not experimental dosing instructions."
EXT-NIOSH-CL2,official_safety,authoritative,NIOSH Pocket Guide: Chlorine,,https://www.cdc.gov/niosh/npg/npgd0115.html,"Low exposure limits, strong oxidizing behavior and serious inhalation/reactivity hazards.","Supports refusal and containment boundaries, not chlorine generation or dosing instructions."
EXT-NIOSH-PH3,official_safety,authoritative,NIOSH: Phosphine,,https://www.cdc.gov/niosh/topics/phosphine/,Phosphine toxicity and the need for occupational controls and emergency planning.,Page access can vary; use current institutional SDS/SOP for site-specific controls.
EXT-NIOSH-NANO,official_safety,authoritative,NIOSH 2012-147: Current Strategies for Engineering Controls in Nanomaterial Production and Downstream Handling Processes,2012,https://www.cdc.gov/niosh/docs/2012-147/default.html,"Containment, local exhaust, exposure control and safer cleanup for engineered nanomaterials.","Control selection remains material-, quantity- and process-specific."
EXT-ARRHENIUS,primary_research,methodological_analogy,On the validity of the Arrhenius picture in two-dimensional submonolayer growth,2019,https://arxiv.org/abs/1904.06436,An apparent activation energy can combine multiple processes and should not automatically be assigned to one elementary barrier.,"The physical system differs from gas sensors; supports the evidence boundary, not a sensor-specific mechanism."
EXT-OVAC-HT,primary_research,strong_primary,Oxygen Vacancy Formation Energy in Metal Oxides: High Throughput Computational Studies and Machine Learning Predictions,2023,https://arxiv.org/abs/2309.01160,"Vacancy energetics depend on material, oxygen site, cation identity and oxidation state.",Computed formation energies do not establish vacancy concentration or causality in a measured sample.
EXT-SNO2-XPS-2026,primary_research_preprint,strong_recent_primary,Predicting core-level X-ray photoemission spectra of oxide surfaces from first principles — a case study for SnO2,2026,https://arxiv.org/abs/2606.03853,"SnO2 O 1s spectra can contain overlapping signatures from terminations, vacancies, OH and O2 adsorbates; interpretation is difficult.",Recent preprint and model surfaces; sample-specific assignments still need orthogonal evidence.
EXT-SNO2-VACANCY,primary_research,strong_primary,Density functional study of oxygen vacancies at the SnO2 surface and subsurface sites,2008,https://arxiv.org/abs/0804.3460,Surface and subsurface oxygen vacancies affect SnO2 electronic structure differently.,Does not validate a particular O 1s peak deconvolution.
