item_id,domain,question,option_letter,option_text,is_gold,gold_letter,item_validity_verdict,gold_reference_status,condition_sufficiency,source_support,item_ambiguity_severity,audit_priority,option_audit_verdict,factual_status,contextual_status,distractor_quality,option_overlap_status,safety_status,external_evidence_status,evidence_cluster_ids,source_ids,audit_finding,v0_6_action,future_release_action,confidence,review_identity
SGS-001,organic_chemistry,某氯气显色纸带使用芳香胺作受体。配方在水加入后变浑浊，但干燥后仍能变色。下一步最稳妥的判断是？,A,复配澄清窗口并验证干膜均匀显色,True,A,ambiguous_multiple_defensible,gold_preferred_but_not_unique,partially_sufficient,project_analog_only,medium,P1,supported_but_not_unique,supported_with_stated_boundary,current_gold_not_unique,gold_option,gold_uniqueness_problem,no_direct_safety_failure,cluster_sources_support_general_principle,E05;E10;E12;E15;E20,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO;EXT-NIST-RSM;EXT-COFFEE-RING,该选项本身可成立，但其他选项也能合理解释或验证同一问题，单选唯一性不足。A概括了相容性与干膜验证，但D同样直接针对析出边界，二者存在包含/重叠关系。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-001,organic_chemistry,某氯气显色纸带使用芳香胺作受体。配方在水加入后变浑浊，但干燥后仍能变色。下一步最稳妥的判断是？,B,保留微浑浊配方并做批间重复制样,False,A,ambiguous_multiple_defensible,gold_preferred_but_not_unique,partially_sufficient,project_analog_only,medium,P1,plausible_followup_not_best,factually_plausible_or_true,plausible_but_not_best,strong_contextual_distractor,no_material_overlap_identified,no_direct_safety_failure,cluster_sources_support_general_principle,E05;E10;E12;E15;E20,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO;EXT-NIST-RSM;EXT-COFFEE-RING,该动作一般具有实验价值，但没有首先处理题干的主矛盾，作为单选项可视为次优而非事实错误。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-001,organic_chemistry,某氯气显色纸带使用芳香胺作受体。配方在水加入后变浑浊，但干燥后仍能变色。下一步最稳妥的判断是？,C,提高芳香胺浓度并比较显色动力学曲线,False,A,ambiguous_multiple_defensible,gold_preferred_but_not_unique,partially_sufficient,project_analog_only,medium,P1,plausible_followup_not_best,factually_plausible_or_true,plausible_but_not_best,strong_contextual_distractor,no_material_overlap_identified,no_direct_safety_failure,cluster_sources_support_general_principle,E05;E10;E12;E15;E20,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO;EXT-NIST-RSM;EXT-COFFEE-RING,该动作一般具有实验价值，但没有首先处理题干的主矛盾，作为单选项可视为次优而非事实错误。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-001,organic_chemistry,某氯气显色纸带使用芳香胺作受体。配方在水加入后变浑浊，但干燥后仍能变色。下一步最稳妥的判断是？,D,调整酸度和溶剂比例评估析出边界,False,A,ambiguous_multiple_defensible,gold_preferred_but_not_unique,partially_sufficient,project_analog_only,medium,P1,also_defensible_overlap,factually_plausible_or_true,also_defensible_or_complementary,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E05;E10;E12;E15;E20,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO;EXT-NIST-RSM;EXT-COFFEE-RING,该选项在题干条件下同样可辩护，作为“错误选项”会误伤合理回答；与 Gold 存在机制、验证或层级重叠。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
SGS-002,organic_chemistry,PANI 薄膜对 NH3 响应很强，但 80%RH 下基线持续上移。最适合先排查的是？,A,增加膜厚并比较高湿下峰值保持率,False,B,ambiguous_multiple_defensible,gold_conceptually_correct,partially_sufficient,general_review_support,medium,P1,contextually_inferior_or_unsupported_distractor,unsupported_or_contextually_misaligned,inferior_or_unsupported,acceptable_distractor,no_material_overlap_identified,no_direct_safety_failure,cluster_sources_support_general_principle,E02;E05;E08;E19,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-PANI-VIRJI;EXT-PANI-INKJET;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE,该选项未直接回答题干的核心不确定性，或缺少必要证据；作为次优/错误选项基本可用。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-002,organic_chemistry,PANI 薄膜对 NH3 响应很强，但 80%RH 下基线持续上移。最适合先排查的是？,B,拆分去质子化响应与吸水膨胀漂移,True,B,ambiguous_multiple_defensible,gold_conceptually_correct,partially_sufficient,general_review_support,medium,P1,supported_but_not_unique,supported_with_stated_boundary,current_gold_not_unique,gold_option,gold_uniqueness_problem,no_direct_safety_failure,cluster_sources_support_general_principle,E02;E05;E08;E19,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-PANI-VIRJI;EXT-PANI-INKJET;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE,该选项本身可成立，但其他选项也能合理解释或验证同一问题，单选唯一性不足。B是机制拆分目标，C是实现该拆分的直接湿度阶跃实验；作为“先排查”两者都可辩护。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-002,organic_chemistry,PANI 薄膜对 NH3 响应很强，但 80%RH 下基线持续上移。最适合先排查的是？,C,做湿度阶跃曲线并提取峰值滞后特征,False,B,ambiguous_multiple_defensible,gold_conceptually_correct,partially_sufficient,general_review_support,medium,P1,also_defensible_direct_test,factually_plausible_or_true,also_defensible_or_complementary,invalid_distractor_because_defensible,overlaps_or_complements_gold,no_direct_safety_failure,cluster_sources_support_general_principle,E02;E05;E08;E19,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-PANI-VIRJI;EXT-PANI-INKJET;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE,该选项在题干条件下同样可辩护，作为“错误选项”会误伤合理回答；与 Gold 存在机制、验证或层级重叠。,retain_frozen_record_audit_only,rewrite_or_convert_to_multiselect,high,专家 X
SGS-002,organic_chemistry,PANI 薄膜对 NH3 响应很强，但 80%RH 下基线持续上移。最适合先排查的是？,D,调整酸掺杂水平并观察基线恢复,False,B,ambiguous_multiple_defensible,gold_conceptually_correct,partially_sufficient,general_review_support,medium,P1,plausible_followup_not_best,factually_plausible_or_true,plausible_but_not_best,strong_contextual_distractor,no_material_overlap_identified,no_direct_safety_failure,cluster_sources_support_general_principle,E02;E05;E08;E19,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-PANI-VIRJI;EXT-PANI-INKJET;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE,该动作一般具有实验价值，但没有首先处理题干的主矛盾，作为单选项可视为次优而非事实错误。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-003,organic_chemistry,金属卟啉阵列用于胺类气体识别。若某通道对水汽也响应，最合理的处理是？,A,在干燥样本集中剔除水敏通道再分类,False,C,valid_with_minor_caveat,gold_reasonable,sufficient,general_review_support,low,P2,contextually_inferior_or_unsupported_distractor,unsupported_or_contextually_misaligned,inferior_or_unsupported,acceptable_distractor,no_material_overlap_identified,no_direct_safety_failure,cluster_sources_support_general_principle,E02;E15,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-COFFEE-RING,该选项未直接回答题干的核心不确定性，或缺少必要证据；作为次优/错误选项基本可用。,retain_frozen_record_audit_only,retain,medium_high,专家 X
SGS-003,organic_chemistry,金属卟啉阵列用于胺类气体识别。若某通道对水汽也响应，最合理的处理是？,B,提高卟啉负载以扩大量程内胺响应,False,C,valid_with_minor_caveat,gold_reasonable,sufficient,general_review_support,low,P2,plausible_followup_not_best,factually_plausible_or_true,plausible_but_not_best,strong_contextual_distractor,no_material_overlap_identified,no_direct_safety_failure,cluster_sources_support_general_principle,E02;E15,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-COFFEE-RING,该动作一般具有实验价值，但没有首先处理题干的主矛盾，作为单选项可视为次优而非事实错误。,retain_frozen_record_audit_only,retain,medium_high,专家 X
