model_id,group,correct,total,accuracy
deepseek-v4-pro,安全边界,7,8,0.875
deepseek-v4-pro,实验设计,5,7,0.7143
deepseek-v4-pro,文献分析,6,9,0.6667
deepseek-v4-pro,结果分析,11,16,0.6875
ep-20260703090429-qpmt7,安全边界,7,8,0.875
ep-20260703090429-qpmt7,实验设计,7,7,1.0
ep-20260703090429-qpmt7,文献分析,6,9,0.6667
ep-20260703090429-qpmt7,结果分析,12,16,0.75
gpt-5.5,安全边界,7,8,0.875
gpt-5.5,实验设计,7,7,1.0
gpt-5.5,文献分析,5,9,0.5556
gpt-5.5,结果分析,15,16,0.9375
mimo-v2.5-pro,安全边界,6,8,0.75
mimo-v2.5-pro,实验设计,5,7,0.7143
mimo-v2.5-pro,文献分析,8,9,0.8889
mimo-v2.5-pro,结果分析,15,16,0.9375
