id,model_id,set,domain,subfield,review_reason,judge_total_score,judge_hard_fail,human_decision,human_total_score,human_dimension_overrides,override_reason,review_flags,requires_human_confirmation,human_confirmation_reason,review_type,reviewer,review_date,affects_summary
SGS-018,deepseek-v4-pro,Domain Core,organic_chemistry,chromogenic_reagents,low_or_disputed_score,6.65,False,agree,6.65,[],,safety_risk_gate,FALSE,,assistant_assisted_project_owner_confirmed,project_owner_confirmed_with_assistant_support,2026-07-03,FALSE
SGS-031,deepseek-v4-pro,Domain Core,physical_chemistry,kinetic_protocol,low_or_disputed_score,5.85,False,agree,5.85,[],,,FALSE,,assistant_assisted_project_owner_confirmed,project_owner_confirmed_with_assistant_support,2026-07-03,FALSE
SGS-032,deepseek-v4-pro,Domain Core,physical_chemistry,humidity_modeling,low_or_disputed_score,6.15,False,agree,6.15,[],,,FALSE,,assistant_assisted_project_owner_confirmed,project_owner_confirmed_with_assistant_support,2026-07-03,FALSE
SGS-033,deepseek-v4-pro,Domain Core,physical_chemistry,transport_analysis,low_or_disputed_score,6.4,False,agree,6.4,[],,,FALSE,,assistant_assisted_project_owner_confirmed,project_owner_confirmed_with_assistant_support,2026-07-03,FALSE
SGS-044,deepseek-v4-pro,Domain Core,inorganic_chemistry,redox_conversion,low_or_disputed_score,6.45,False,agree,6.45,[],,safety_risk_gate,FALSE,,assistant_assisted_project_owner_confirmed,project_owner_confirmed_with_assistant_support,2026-07-03,FALSE
SGS-045,deepseek-v4-pro,Domain Core,inorganic_chemistry,dopant_design,low_or_disputed_score,6.05,False,agree,6.05,[],,,FALSE,,assistant_assisted_project_owner_confirmed,project_owner_confirmed_with_assistant_support,2026-07-03,FALSE
SGS-046,deepseek-v4-pro,Domain Core,inorganic_chemistry,surface_chemistry,low_or_disputed_score,6.65,False,agree,6.65,[],,,FALSE,,assistant_assisted_project_owner_confirmed,project_owner_confirmed_with_assistant_support,2026-07-03,FALSE
SGS-047,deepseek-v4-pro,Domain Core,inorganic_chemistry,material_selection,low_or_disputed_score,6.9,False,agree,6.9,[],,,FALSE,,assistant_assisted_project_owner_confirmed,project_owner_confirmed_with_assistant_support,2026-07-03,FALSE
SGS-060,deepseek-v4-pro,Domain Core,materials_science,material_matrix,low_or_disputed_score,5.35,False,agree,5.35,[],,safety_risk_gate,FALSE,,assistant_assisted_project_owner_confirmed,project_owner_confirmed_with_assistant_support,2026-07-03,FALSE
SGS-081,deepseek-v4-pro,Domain Core,analytical_chemistry,method_validation,low_or_disputed_score,0.0,False,missing_kept_zero,0,[],Missing answer. No-rescue rule: keep human score at 0.0.,missing_no_rescue|needs_human_attention,TRUE,Missing answer. No-rescue rule: keep human score at 0.0.,assistant_assisted_project_owner_confirmed,project_owner_confirmed_with_assistant_support,2026-07-03,TRUE
SGS-082,deepseek-v4-pro,Domain Core,analytical_chemistry,data_quality,low_or_disputed_score,6.8,False,agree,6.8,[],,,FALSE,,assistant_assisted_project_owner_confirmed,project_owner_confirmed_with_assistant_support,2026-07-03,FALSE
